Sample ID,Subject ID,Factors,Additional sample data
PN00506,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '89', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1977', 'Age (now)': '37', 'Age (BOD-OD)': '31', 'Race': 'Other', 'Stage OB': '2', 'BMI': '21.8', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00032,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '218', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1974', 'Age (now)': '40', 'Age (BOD-OD)': '32', 'Race': 'Other', 'Stage OB': '2b', 'BMI': '22.9', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01613,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '182', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1977', 'Age (now)': '37', 'Age (BOD-OD)': '32', 'Race': 'White', 'Stage OB': '3', 'BMI': '23.1', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01461,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '178', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '1978', 'Age (now)': '36', 'Age (BOD-OD)': '32', 'Race': 'white', 'Stage OB': '3a', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00516,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '93', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1975', 'Age (now)': '39', 'Age (BOD-OD)': '33', 'Race': 'White', 'Stage OB': '3', 'BMI': '24.4', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00528,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '100', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1975', 'Age (now)': '39', 'Age (BOD-OD)': '33', 'Race': 'White', 'Stage OB': '3', 'BMI': '30', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00746,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '126', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1975', 'Age (now)': '39', 'Age (BOD-OD)': '34', 'Race': 'White', 'Stage OB': '2', 'BMI': '34.4', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00529,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '103', 'ER': '1', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1972', 'Age (now)': '42', 'Age (BOD-OD)': '36', 'Race': 'Black', 'Stage OB': '2', 'BMI': '45.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03439,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': 'NA', 'Clinical_Parameters': '190', 'ER': '-', 'PR': '-', 'HER-2 neu': 'EQUIVOCAL FOR EXPRESSION', 'YOB': '1973', 'Age (now)': '41', 'Age (BOD-OD)': '37', 'Race': 'White', 'Stage OB': '4', 'BMI': '25.7', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': '40473'}"
PN00867,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '137', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1973', 'Age (now)': '41', 'Age (BOD-OD)': '37', 'Race': 'White', 'Stage OB': '3', 'BMI': '42.9', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00515,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '91', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1970', 'Age (now)': '44', 'Age (BOD-OD)': '38', 'Race': 'Asian', 'Stage OB': '2', 'BMI': '22.9', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00418,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '51', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1970', 'Age (now)': '44', 'Age (BOD-OD)': '38', 'Race': 'White', 'Stage OB': '3', 'BMI': '36.8', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00031,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '17', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1968', 'Age (now)': '46', 'Age (BOD-OD)': '38', 'Race': 'Black', 'Stage OB': '2', 'BMI': '28.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01144,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '159', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1970', 'Age (now)': '44', 'Age (BOD-OD)': '39', 'Race': 'White', 'Stage OB': '2', 'BMI': '25.4', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00027,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '2', 'Clinical_Parameters': '8', 'ER': '-', 'PR': '-', 'HER-2 neu': '1', 'YOB': '1967', 'Age (now)': '47', 'Age (BOD-OD)': '39', 'Race': 'Asian', 'Stage OB': '3', 'BMI': '25.4', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00527,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '97', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1968', 'Age (now)': '46', 'Age (BOD-OD)': '40', 'Race': 'Other', 'Stage OB': '2', 'BMI': '26.5', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00862,-,"{'Diagnosis': 'Breast cancer', 'Stage': '3'}","{'Sub-group': '1', 'Clinical_Parameters': '135', 'ER': '1', 'PR': '1', 'HER-2 neu': '1', 'YOB': '1969', 'Age (now)': '45', 'Age (BOD-OD)': '40', 'Race': 'White', 'Stage OB': '3', 'BMI': '32.9', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN03126,-,"{'Diagnosis': 'Breast cancer', 'Stage': '4'}","{'Sub-group': 'NA', 'Clinical_Parameters': '75', 'ER': '-', 'PR': '-', 'HER-2 neu': '-', 'YOB': '1970', 'Age (now)': '44', 'Age (BOD-OD)': '40', 'Race': 'White', 'Stage OB': '4', 'BMI': '30.2', 'Year of Sample Collection': '2010', 'Prog/Relapse by 9/7/11': 'NA'}"
PN01884,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '1', 'Clinical_Parameters': '192', 'ER': 'NA', 'PR': 'NA', 'HER-2 neu': 'NA', 'YOB': '1970', 'Age (now)': '44', 'Age (BOD-OD)': '40', 'Race': 'Asian', 'Stage OB': '2b', 'BMI': 'NA', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
PN00414,-,"{'Diagnosis': 'Breast cancer', 'Stage': '2'}","{'Sub-group': '2', 'Clinical_Parameters': '48', 'ER': '1', 'PR': '1', 'HER-2 neu': '-', 'YOB': '1967', 'Age (now)': '47', 'Age (BOD-OD)': '41', 'Race': 'White', 'Stage OB': '2', 'BMI': '22.7', 'Year of Sample Collection': 'NA', 'Prog/Relapse by 9/7/11': 'NA'}"
