Asparagine,Hypotaurine,5-Oxoproline,Cysteine,Aspartate,Glycerolphosphate,Glutamate,Arachidonic acid,Cystine,Glyoxylic acid,Lactate,Isoleucine,a-ketoglutarate,Pyruvate,Malate,N-Acetylneuraminic acid,Pseudo uridine,5-Hydroxy-tryptophan,3-amino-2-Piperidone,Succinate,Myristoleic acid,Octadecanoic acid,Uric acid,Caproic acid,Parabanic acid,"Glyceric acid, TMS",3-hydroxyoxyisovaleric acid,"2,4-bishydroxybutanoic acid",Pyrrole-2-carboxylic acid,Picolinic acid,L-methionine,Octanoic acid,Cholesterol,Nicotinic acid,glycol,Benzoic acid,Palmitoleic acid,2-aminobutyric acid,Threonine,2-oxo-4-methylvaleric acid,Glycine,d-Galactose,2-methyl-butyric acid,N-Acetyl glucosamine,Threitol,D-Fructose,Sorbose,Oxanilic acid,Decanoic acid,3-methyl-2-oxo-butanoic acid,"3-Phosphoglyceric acid, TMS",N-acetyl-glycine,Hexadecanoic acid,Citric acid,Arabinofuranose,Urea,"2,3'-Dipyridyl",Phenylalanine,1H-Indole-3-acetic acid,2-Butenedioic acid,Ornithine,3-hydroxypyridine,Xylitol,3-Hydroxybutyric acid,"3,4-bishydroxybutanoic acid",cis-3-Hexenyllactate,Nonanoic acid,2-amino-6-methylaminohexanoic acid,2-oxo-3-methyl-pentanoic acid,Methylcysteine,d-Xylose,L-Threonic acid,Mannitol,Glucopyranose,Aminomalonic acid,"3, 4 dehydroproline",Glycerol,L-Lysine,à-Aminoadipic acid,"2,2'-Bipyridine",Serine,Inositol,Galactonic acid,Proline,4-Deoxypyridoxine,Cadaverine,Erythrose,Glyceraldehyde,Alloisoleucine,Myo-Inositol,Nicotine,2-Piperidinecarboxylic acid,Myristic acid,Heneicosanoic acid,sarcosine,N-formyl-glycine,"9,12-Octadecadienoic acid (Z,Z)-",Cyclohexanone,L-Homoserine,Anthranilic acid,Beta-alanine,Ribitol,Oxalic acid,2-hydroxypyridine,D-Ribofuranose,Olic acid,Gluticol,L-Ornithine,Hydroxycarbamic acid,Alanine,L-Tyrosine,"1,2-dimethylpropanol",Maleimide,"3-Aminosalicylic acid, TMS",6-deoxy-mannose,L-Tryptophan,Dodecanoic acid,"2,3-Dihydroxybutanoic acid","N,N-Dimethyl-2-isopropoxyethylamine",1-hydroxy-1-cyclohexen,"3,6-Dioxa-2,7-disilaoctane, 2,2,4,7,7-pentamethyl-",á-Amino isobutyric acid,D-Glucuronic acid,à-Hydroxyisobutyric acid,L-Leucine,Cyclohexyloxy,Creatine,Elaidic acid
0.092115189,0.015607552,1.438458152,0.095450456,0.058621257,0.013007384,0.085973286,0.008484512,0.02926818,0.032392894,54.50413358,0.026840065,0.009054868,2.303295663,0.241967931,0.028706476,0.008718014,0.021234568,0.020137996,0.042813179,0.010324467,0.287458415,0.290310327,0.028095135,0.004004129,0.032773641,0.03177689,0.011257766,0.009779513,0.089283018,0.187651932,0.004579178,1.324473117,0.181881036,0.626938868,0.023699962,0.01398585,0.301984957,0.787047801,0.0509888,2.309534317,0.019955925,0.005239535,0.005532077,0.038205134,0.037089449,0.008282183,0.019528447,0.00273636,0.007008755,0.055484507,0.015458861,0.711049113,0.753457966,0.014651904,12.37676849,0.029483072,0.47533499,0.024170343,0.04523135,0.121706301,0.102926719,0.007375897,0.529750429,0.035621052,0.192091984,0.02160678,0.021897277,0.154060564,0.028661892,0.006806071,0.041998546,0.29811855,19.52148167,0.38111295,0.027126963,0.124344524,0.848437267,0.01719268,0.091316459,1.552927472,0.018736313,0.079083772,6.325419297,0.033973906,0.025340495,0.008086168,0.007854074,1.213756655,0.295531709,0.009033499,0.06480246,0.042980897,0.014065733,0.086834845,0.002758233,0.015682937,0.226845531,0.011207404,0.006306526,0.004649237,0.034981515,84.92546946,2.318523601,0.033577315,0.050454308,0.059476882,1.466640372,0.017386707,9.169488643,0.841142197,0.020504722,0.035015705,0.072461043,0.101187419,0.573602599,0.063903405,0.019613747,0.19139468,0.028880994,0.149862883,0.029942535,0.00388279,0.375529153,2.439328008,0.769258185,0.303353837,0.004448686
0.099736698,0.009799671,0.658859497,0.106774369,0.026431417,0.012061316,0.039578233,0.007122064,0.020814523,0.037331976,77.22909559,0.024897032,0.012769249,1.455225763,0.198940604,0.025171519,0.00619242,0.01670705,0.021327343,0.036189802,0.011585485,0.222179922,0.451232321,0.046133172,0.003113038,0.042274792,0.025780445,0.023161478,0.015996469,0.069247866,0.333535007,0.009109217,0.994693639,0.167720557,0.476337326,0.046547583,0.006044478,0.578368567,0.884642862,0.043345984,1.714462849,0.045572946,0.011835604,0.004368832,0.038592787,0.328068894,0.014505441,0.06123707,0.003126983,0.007850641,0.031351654,0.010129782,0.443292452,0.705717937,0.029078628,16.14707752,0.035715974,0.922650137,0.014265026,0.045490141,0.032536627,0.268544022,0.005898975,0.613448802,0.089304694,0.232124866,0.010430692,0.012752906,0.039426297,0.034106209,0.010486462,0.013823113,0.005293218,14.43750942,0.372476426,0.043210068,0.545847829,1.129162813,0.009416607,0.106575838,1.067379693,0.022663414,0.099213407,10.53353957,0.060607176,0.009699072,0.00781346,0.018177063,1.517755891,0.325816553,0.01112451,0.041959678,0.018852775,0.016195738,0.097115435,0.00484055,0.013006619,0.207668359,0.019344679,0.010804953,0.011383401,0.025597739,154.2740263,2.725072425,0.065852043,0.017515742,0.05464552,0.488902311,0.037532534,14.55864378,1.474697655,0.027453551,0.107738794,0.059845079,0.2025633,0.849510591,0.074099693,0.031455861,0.205431661,0.026345764,0.207328447,0.019826507,0.004647794,0.72000455,2.357825075,0.613077436,0.190682013,0.003061111
0.082640391,0.00590909,0.964389315,0.045262469,0.033480403,0.026729726,0.064365604,0.020660278,0.019729545,0.053052335,35.85561318,0.036676012,0.009647776,0.609601931,0.188179334,0.007215105,0.008126565,0.026703383,0.017780893,0.087704867,0.009064599,0.783281453,0.307936234,0.031993738,0.006128694,0.122054665,0.011437345,0.016242416,0.049738919,0.246261724,0.128310704,0.006692238,1.38500378,0.122481795,0.511887947,0.027581651,0.091104946,0.367775621,0.564583687,0.043667688,0.591785556,0.025458601,0.005907087,0.006953207,0.05297504,0.032729525,0.02772455,0.010165444,0.010336422,0.007904742,0.056628759,0.01190761,2.813977701,0.529689733,0.007993804,19.00481564,0.026544135,0.476140656,0.01605423,0.063678125,0.052217619,0.218020623,0.009181589,2.384034771,0.062203759,0.168675985,0.010303158,0.049589485,0.052525855,0.024439558,0.008850777,0.048657433,0.162096999,15.75831737,0.146668588,0.024765826,0.560322316,0.537014291,0.024750147,0.082290971,0.739776441,0.011640027,0.040784896,5.344654263,0.033043456,0.005556659,0.008527124,0.005568288,1.093374592,0.209314352,0.00589347,0.118012124,0.20543607,0.017724782,0.108777805,0.006265786,0.065055939,0.194936359,0.004352736,0.00632169,0.004618395,0.04358045,90.64000136,2.180364453,0.039610061,0.230794645,0.057552279,0.281630576,0.033378631,6.598095635,0.852653121,0.021411242,0.218063742,0.029508971,0.116446855,0.432562217,0.082891296,0.024350694,0.143602193,0.023330003,0.212937047,0.043100915,0.008211485,0.703559937,2.095918789,0.629494929,0.106304445,0.0294034
0.134503394,0.009018359,1.126860948,0.095057232,0.057921953,0.023502209,0.126642158,0.005795836,0.03462917,0.077511031,48.24189161,0.0291583,0.011834164,1.066791921,0.259787274,0.006314593,0.007246571,0.037792018,0.035485829,0.147831774,0.016853373,0.37396628,0.379097524,0.033875018,0.006261113,0.083847213,0.026070069,0.011599041,0.081974554,0.597024854,0.206389092,0.004624643,0.973773799,0.103344227,0.514351656,0.097300027,0.004938076,0.381306892,0.626945801,0.05465583,0.491400461,0.085334416,0.007530074,0.008549689,0.047881756,2.197693836,0.024231727,0.01858513,0.001826658,0.010240274,0.044684568,0.017414045,0.628112125,0.985277126,0.020458992,25.36862543,0.032446991,0.884555822,0.020656473,0.074985524,0.030995278,0.166174473,0.009446843,1.06332494,0.040314158,0.175069717,0.010261959,0.018460948,0.139673845,0.022177558,0.014246569,0.03894464,0.055486674,14.81314703,0.143858191,0.044309221,0.303505897,0.593945737,0.041214703,0.095689665,1.182782071,0.009997139,0.08356831,10.29458375,0.057857287,0.00692686,0.008960428,0.007121683,2.289064984,0.285493318,0.007846759,0.06843534,0.029268309,0.016114185,0.116751209,0.009762713,0.019075998,0.204699205,0.0220262,0.010358929,0.002487965,0.036277215,153.1843283,2.308712777,0.051537895,0.022832531,0.082224046,0.449855725,0.042657668,12.64437605,1.851008169,0.016811495,0.096596088,0.028775304,0.143188149,0.867579106,0.040674896,0.023607759,0.217407488,0.02411002,0.13928657,0.032176773,0.006249615,0.42383582,3.493105633,0.655511883,0.245153432,0.269921974
0.130460626,0.008726064,1.154612426,0.10821156,0.042425354,0.010585494,0.057912419,0.009721599,0.049263604,0.036008867,28.77206009,0.033060379,0.011906377,1.014997958,0.267263391,0.012347135,0.007753776,0.013790291,0.037887845,0.031030454,0.018923669,0.326184299,0.325975961,0.026961471,0.005809529,0.042006694,0.02744728,0.012862857,0.010015646,0.071887058,0.437374635,0.01263785,0.909372309,0.185257052,0.497849655,0.050701973,0.02248817,0.391192077,1.350751646,0.089013735,1.412876636,0.061005956,0.006246926,0.005948685,0.034780272,0.028259684,0.010876144,0.03192869,0.010529024,0.009382221,0.040859305,0.008208791,0.811001398,0.605049607,0.020894005,17.29911101,0.035429333,0.767563351,0.029616586,0.040161793,0.030027352,0.11854943,0.006300914,0.92457494,0.040422861,0.171625091,0.023721598,0.071637903,0.100677438,0.02419863,0.009762537,0.022018542,0.013652673,4.59640526,0.262851517,0.0599412,0.258613307,1.546479672,0.010685065,0.109248074,1.554189788,0.011321451,0.045860139,9.680599971,0.072514868,0.010448877,0.009849855,0.00666445,2.162034616,0.27056746,0.00894869,0.060141712,0.086521747,0.014385121,0.075523353,0.003660114,0.01451413,0.199898832,0.002358839,0.012224287,0.010344347,0.038740389,146.9132793,2.116481496,0.047652093,0.034327751,0.045534712,0.754543665,0.040234754,12.05790982,2.346130101,0.012816287,0.094885558,0.072225227,0.139698818,0.724232904,0.064589133,0.021978873,0.200720702,0.024512209,1.284515981,0.024478384,0.006685058,0.461210357,4.596897846,0.641013452,0.330206235,0.002296782
0.103825724,0.015073054,1.52266276,0.10142434,0.049576163,0.008734067,0.125641101,0.009179078,0.040892431,0.035424439,84.24816062,0.024183347,0.012070561,2.393978978,0.312454698,0.010323401,0.006042134,0.010048333,0.02983901,0.02439228,0.018918803,0.542336911,0.187913283,0.025587655,0.005465305,0.050305067,0.013534593,0.013840077,0.012171051,0.10450166,0.317206915,0.006956899,0.979851001,0.267886664,0.570183306,0.019680161,0.057267457,0.747795018,0.863513145,0.072669316,1.57459584,0.059255586,0.004204225,0.00517911,0.071189672,1.018277009,0.038491903,0.031392542,0.009652576,0.009354079,0.034654318,0.005544177,2.444341618,0.665680355,0.033976972,11.05802011,0.031508922,0.657141914,0.011728491,0.045116072,0.054454663,0.182968349,0.007673275,0.968196168,0.053326713,0.172928691,0.015823711,0.075290971,0.085841353,0.020566225,0.006801627,0.022075966,0.044491668,23.40207003,0.220340555,0.023929519,0.675672209,1.104857119,0.023214509,0.088707319,0.888876012,0.022276613,0.070955273,12.42981872,0.030487251,0.012243228,0.011556045,0.01135439,0.954390682,0.369165353,0.008943226,0.04513504,0.323843121,0.015192637,0.089481381,0.011852157,0.038097057,0.191476346,0.025229444,0.005783424,0.004594551,0.036555779,86.44116706,2.39555038,0.087573012,0.127985085,0.054371428,0.631257605,0.022280919,33.58741278,1.113012653,0.020974,0.081021052,0.051766174,0.22825538,0.568260169,0.038291378,0.034781694,0.172706028,0.027459563,0.132446771,0.01787332,0.009539999,1.106099319,2.01771259,0.664101721,0.249772947,0.023087571
0.048706131,0.008073503,1.039786917,0.097845391,0.033669228,0.01202497,0.183329511,0.009815205,0.029916094,0.024590444,48.22909513,0.037989097,0.013653948,1.478824699,0.179808406,0.015339597,0.008130477,0.009847456,0.012421535,0.026453297,0.00822053,0.455295227,0.4765292,0.026732149,0.002891197,0.047603967,0.022516603,0.009372739,0.009501872,0.061391626,0.229330315,0.006040934,1.656073648,0.569111943,0.538712193,0.025919097,0.014243348,0.521517661,0.676359892,0.062544076,0.971322896,0.067780416,0.005980492,0.004848437,0.044346585,0.154437406,0.018115566,0.13771473,0.005185815,0.008277802,0.066623287,0.005798959,0.901496972,0.482607792,0.026961616,15.18762878,0.032926246,0.785707747,0.041164717,0.042608766,0.056378048,0.205401073,0.006103631,0.753884019,0.053865371,0.178143946,0.018861704,0.008089082,0.066492481,0.028332767,0.004967438,0.024989498,0.096082072,14.70782226,0.307139534,0.049476855,0.268510001,0.902962631,0.018185296,0.106005277,0.821599147,0.006900104,0.085684157,10.69457252,0.061429198,0.018462803,0.011351097,0.011547584,1.971079236,0.239087398,0.009542774,0.116437194,0.052774108,0.015574735,0.085616369,0.006042312,0.022986371,0.204251669,0.012561625,0.011493904,0.008458391,0.038350381,150.1145894,2.364239621,0.065687882,0.046514654,0.084789685,0.758243584,0.028646959,11.15766268,1.502721582,0.018604631,0.061418837,0.057448048,0.190644026,0.802602273,0.071274322,0.030729075,0.126430464,0.028899805,0.091485762,0.032177319,0.004115928,1.009974177,3.707926354,0.650723774,0.244832717,0.005317198
0.075157481,0.00961388,1.071438984,0.118179813,0.043586804,0.011338022,0.123191869,0.013032761,0.068750492,0.030601963,46.9647806,0.038533823,0.009975308,1.185930254,0.177104164,0.008891789,0.006123894,0.00951965,0.017809718,0.019412711,0.010280863,0.265640086,0.52430184,0.042023029,0.003494686,0.031887898,0.042025458,0.018771207,0.01028762,0.063576462,0.305783863,0.011444386,1.238653228,0.184041171,0.52933302,0.079050134,0.0063204,0.526907118,0.992962003,0.071489508,1.097544969,0.061759731,0.006067305,0.004463142,0.030143067,0.882583895,0.021907445,0.039497504,0.006019005,0.008874952,0.037165649,0.005395105,0.527638903,0.634246809,0.017842054,20.62767097,0.038642195,0.794323961,0.007322877,0.039780538,0.036019297,0.186669879,0.005083533,0.853866977,0.041248565,0.174728474,0.039412415,0.008041381,0.033694112,0.016452053,0.011889604,0.015652597,0.010417711,0.706571098,0.167156182,0.050852896,0.295875397,1.164984339,0.013307473,0.116051626,1.02881037,0.007840231,0.053540712,7.001831241,0.063858999,0.010245139,0.007830907,0.012155638,2.54921166,0.267406956,0.010017565,0.036620667,0.032356926,0.014667304,0.090338934,0.002533148,0.009211117,0.188294011,0.002721186,0.011346971,0.020599986,0.032019795,140.4933195,2.419442349,0.045097565,0.01898344,0.019590442,0.96993599,0.026049499,10.35541204,1.71256925,0.015127128,0.039053675,0.059809988,0.122680128,0.625860907,0.056911496,0.027176246,0.185548905,0.024098457,0.44810624,0.030423209,0.005775082,0.912639734,4.513976671,0.616954113,0.273542222,0.003066783
0.065033147,0.007918476,1.257897324,0.138481839,0.045790791,0.016460806,0.138905683,0.012104233,0.040360305,0.044312813,37.33004605,0.030211867,0.013073017,1.139807269,0.195921307,0.019718952,0.008412072,0.025179381,0.015622397,0.073258107,0.006249778,0.496198979,0.474838309,0.028588548,0.003470491,0.056457893,0.045077048,0.008318646,0.041717845,0.152365316,0.147904234,0.005540781,1.29276125,0.077030974,0.521933682,0.039704489,0.115916335,0.648876554,0.644896478,0.034866313,0.841799067,0.025875025,0.005337359,0.006945976,0.034256289,0.053344517,0.012784077,0.017610737,0.004965583,0.008097001,0.038700466,0.009388193,2.647810658,1.040830934,0.019117977,16.31265317,0.035372458,0.529144811,0.007285258,0.063174969,0.051132594,0.199944872,0.008437348,10.50185316,0.074891966,0.203428637,0.012892016,0.089231816,0.074927151,0.03577509,0.050914465,0.03819748,0.007130782,8.147234934,0.124174681,0.039861441,0.636675767,0.768587529,0.009405823,0.110496348,1.313103056,0.011826987,0.062834066,4.061803946,0.051222608,0.007450046,0.008138565,0.013463943,0.997455287,0.276110898,0.009530505,0.032874885,0.145249397,0.019299582,0.118080273,0.00165694,0.084675451,0.187359403,0.010982206,0.009570463,0.004410232,0.037111141,131.922682,2.521928013,0.040710096,0.283339892,0.022784985,0.552530572,0.027674608,5.874269194,0.782012662,0.021115058,0.042746415,0.05218665,0.129607713,0.326848445,0.06531469,0.024874059,0.242735796,0.022395088,0.107627759,0.022664721,0.018413724,1.059790621,2.220038703,0.575902433,0.267413703,0.027485072
0.117209277,0.010978374,1.645905618,0.105985889,0.049942485,0.011976764,0.140851211,0.009341416,0.062938454,0.078725795,82.07327348,0.036932962,0.019166973,1.445743738,0.352553347,0.014230224,0.01033789,0.013017862,0.01722882,0.043804731,0.008180622,0.462337781,0.354864912,0.037314231,0.004679952,0.105028517,0.023669803,0.029236639,0.020471578,0.076689006,0.303583871,0.010490238,1.780587462,0.125999553,0.660821571,0.045265648,0.013328671,0.634204904,1.67310762,0.058053918,2.301824474,0.05692365,0.00572374,0.006392146,0.058290451,0.809631554,0.025941377,0.043229481,0.007962368,0.012261256,0.060237286,0.008884365,0.871928438,0.956462395,0.024794317,16.66830907,0.052352988,0.662262362,0.031759864,0.048904479,0.095573178,0.234253261,0.011308237,0.766588378,0.067026621,0.249341838,0.055660433,0.01226933,0.034035932,0.047422383,0.01298634,0.047074792,0.009675741,26.02133762,0.76193966,0.069339414,0.359298849,1.421435492,0.051253663,0.151604416,1.47702884,0.007532669,0.109577886,7.754747705,0.08806462,0.02490867,0.010779103,0.019505186,1.553872439,0.323307282,0.012089036,0.161002686,0.067080225,0.025021237,0.124682539,0.014230309,0.017206735,0.276942629,0.010438302,0.015302718,0.013812848,0.042362244,201.0813401,3.709883876,0.058697294,0.030747924,0.108229128,1.115741989,0.035607067,19.81356154,1.706417385,0.01220081,0.046691518,0.083304671,0.166578204,0.765842311,0.076826556,0.031802305,0.183290092,0.032336062,1.772017259,0.029340248,0.007804905,0.84019623,2.772221457,0.859831161,0.12456747,0.004150871
