Sample ID,Cortisol,Urea,Adenosine,Hypoxanthine,Creatinine,Hippuric acid,Phenylalanine,CAR 6:0,Leucine/Isoleucine,Proline,Creatine,Betaine,CAR 3:0,Carnitine,Arginine,Phenylalanine d5,L-Isoleucine d7,Valine d8,L-Carnitine d3
O-T0-01,1003316667,1443665933,155725,1304467,8559877167,12322,867935,4671,2974328333,1586091667,954695,3275560333,1859566667,24861825,4338673333,304070,62966,12995,2688201
O-T1-01,1108716667,1417506133,701225,1230401,8389234167,45642,624145,10966,2316228333,1116741667,928739,5256227333,1961966667,24727095,2008623333,296812,64873,12223,2832304
O-T2-01,1163016667,1409172333,224325,1168541,9775961167,35066,654065,8761,2739668333,1905281667,1049627,5329829333,1952646667,26943815,2640653333,285055,67494,15146,2883756
O-T0-02,1062216667,1333687633,232625,969630,9984502167,44842,1061035,5002,2884968333,2668371667,1214717,6225391333,1613116667,28738675,7751563333,289928,67409,12888,2677246
O-T1-02,6775166667,1513099733,37025,496771,8951857167,38292,479565,2593,1552478333,1590951667,704301,5398907333,1155366667,24434735,4914363333,284233,52323,10368,2659125
O-T2-02,1390716667,1475734633,834625,1193122,1000235717,50093,599125,5213,2117998333,9596516667,869248,4971579333,1417706667,22854255,3576773333,307234,60857,12283,2829055
O-T0-03,6716166667,1370871733,140125,2218749,1054616517,4884,861555,7354,2847318333,1387771667,863061,6425779333,1154286667,23072165,5572653333,300341,66031,16509,2713645
O-T1-03,6338166667,1568154433,244725,991792,1073107517,34638,768525,9051,3006828333,1932311667,1054184,7493425333,1822506667,26453665,4512333333,321517,69441,15214,2795914
O-T2-03,6206166667,1364367733,117525,1379328,9083694167,30960,1024815,3736,4077278333,2650211667,1003189,7188972333,2469916667,30960565,4605113333,311053,70701,17515,2662774
O-T0-04,3003816667,1932265233,23423725,1216287,1824916817,21995,1343625,4088,3537178333,1997121667,1527951,1793346333,1765026667,34736665,1288167333,196111,93582,20256,3971077
O-T1-04,1947816667,1750439833,13037525,944937,1719287417,45857,1866375,6487,5697468333,3102061667,1552939,5355629333,1869866667,34287935,1617460333,195433,102166,20161,3937971
O-T2-04,1575116667,1974860533,118225,1333410,1633186317,53256,2110745,7545,5911508333,2743371667,1284508,5408025333,2819336667,40932655,1244721333,181626,105251,24378,3853373
O-T0-05,1256116667,1392217733,278325,884211,1150619817,16706,573525,5582,2487478333,2231911667,466273,3842039333,1811606667,30005665,4990303333,274596,68215,11582,3303092
