Sample ID,Sphingosine,Sphingosine-1-Phosphate,LPC 14:0,LPC 16:0,LPC 17:0,LPC 17:1,LPC 18:0,LPC 18:1,LPC 19:0,LPE 18:0,LPI 20:4,Palmitoleic acid,Lauric acid,Arachidonic acid,Oleic acid,Bilirubin,Oleamide,Lactic acid,Pyruvic acid,Sphingosine d7,LPC 18:1 d7,Palmitic acid d31
O-T0-01,1093045375,3327375,56587625,325380525,473585,9018,967088875,812775,3089125,19343,625,4755525,7822625,52233875,596837125,975,3201125,144296375,1472,947074,180894,30951
O-T1-01,2075275375,5523375,101901625,530671225,802325,15784,1743532875,1418445,5535125,30901,1012,7665425,14154625,82395875,860125125,1122,7884125,196952375,2369,988434,191120,30575
O-T2-01,1028375,1469375,17399625,104800025,139695,2710,268820875,201272,656125,5538,163,2472125,1038625,20771875,268164125,283,-1040875,22648375,716,1015364,195740,32235
O-T0-02,208375,1549375,21732625,106259125,174595,2671,326680875,194907,62125,6060,224,580925,808625,17842875,170457125,272,-927875,44890375,511,936819,179140,31278
O-T1-02,107375,869375,10794625,68489425,93865,1870,195564875,132513,637125,4462,112,1434925,2155625,15606875,185831125,282,-920875,72902375,597,905407,178781,30739
O-T2-02,61598375,893375,13639625,83816325,121015,2186,228136875,169194,654125,5375,102,1687925,1573625,17792875,216172125,395,-626875,76969375,676,950256,179438,31670
O-T0-03,61375,3622375,21743625,113666725,145985,2638,283458875,190186,741125,6160,163,1135225,1216625,22194875,243657125,802,-897875,41084375,700,961481,172214,34885
O-T1-03,202375,3071375,23862625,98916725,89815,2783,246380875,144500,728125,5221,225,3320025,1069625,28170875,409130125,987,-1022875,35616375,549,1020198,185373,36772
O-T2-03,182375,3290375,25561625,143093725,197285,3242,351169875,225804,789125,7283,252,1433925,185625,22925875,226790125,967,-1121875,40265375,572,971623,177292,34115
O-T0-04,210375,1891375,13430625,85811625,112325,2236,218355875,162796,79125,5092,346,1814925,599625,15731875,263741125,1095,-148875,29458375,1631,800113,156321,30646
O-T1-04,150375,1417375,13519625,86426925,114925,2448,216508875,162507,-6875,5238,236,1861225,598625,16016875,267316125,703,-259875,28658375,1590,795881,158121,31354
O-T2-04,249375,1386375,13906625,86883325,114375,2254,222663875,163359,-15875,5256,271,1869825,557625,15967875,258360125,659,-63875,28394375,1543,791000,147885,29790
O-T0-05,296375,2384375,19603625,133484225,212975,3549,406638875,336023,37125,8534,253,674325,561625,11796875,127968125,455,-853875,56917375,981,913838,180792,30278
O-T1-05,257375,2751375,13784625,82777925,140845,2398,244949875,169254,50125,5077,183,2545825,1365625,28638875,322280125,654,-1088875,38359375,569,916830,177171,30915
O-T2-05,234375,2614375,15480625,100318125,154905,2973,295473875,253894,55125,5610,183,1212325,363625,28616875,151820125,859,-1128875,41062375,612,866244,167647,28210
O-T0-06,146375,1600375,27968625,119336425,165305,3080,289167875,183085,-14875,7525,211,328525,127625,20213875,81094125,402,-1094875,84666375,1778,905149,178252,31673
O-T1-06,138375,2876375,24849625,116468125,168335,3183,289744875,153598,27125,7247,347,520025,827625,21611875,91933125,1050,-739875,86757375,1973,918133,177344,31436
O-T2-06,132375,3177375,7842625,84187925,132295,1666,233043875,143556,75125,4910,122,4861525,3819625,31604875,510518125,166,-965875,29824375,759,892010,174119,28974
O-T0-08,643375,1372375,9486625,67868725,94375,2482,211724875,150841,-4875,4881,98,5677125,2070625,31888875,499938125,670,-574875,55423375,683,938320,170042,35418
O-T1-08,585375,1811375,14108625,101793425,127115,2681,249295875,241127,60125,6369,158,820525,667625,15122875,92297125,569,-1061875,55639375,633,906270,169794,32169
O-T2-08,269375,1775375,24931625,120601825,165765,2547,422895875,203679,65125,8559,260,5492125,1896625,33226875,587227125,172,-810875,25985375,518,916063,167079,33954
O-T0-09,236375,2636375,14230625,113871025,138745,2433,363441875,189895,21125,5497,258,1883025,2279625,24346875,298489125,418,-938875,57454375,743,891600,170703,31146
O-T1-09,385375,2832375,14100625,116271825,109315,2057,338955875,164522,52125,5074,313,928825,449625,32454875,155849125,733,-799875,61854375,607,885090,170224,28058
O-T2-09,406375,3486375,35053625,146152225,232565,5822,457073875,342585,72125,10513,306,1227725,542625,31227875,137612125,366,-847875,56122375,1276,884487,171427,29339
O-T0-10,64375,1996375,18786625,105112125,87635,2301,322898875,218605,17125,9571,142,987025,356625,13709875,142753125,624,-1092875,50211375,1162,962788,188006,31798
O-T1-10,290375,1644375,19167625,106870725,106405,2555,345691875,245980,15125,9953,176,915725,628625,10746875,161258125,708,-907875,68792375,1059,982468,187081,33526
O-T2-10,108375,2350375,24487625,123478925,173585,4110,337341875,296827,8125,9021,181,414125,524625,24012875,67965125,638,-843875,59164375,942,1001038,190748,31653
