Sample ID,1-O-Palmitoyl-Cer(d18:1/18:0),24-Hydroxycholesterol,24-Hydroxycholesterol(d7),3-O-SulfoLacCer(d18:1/18:0),4-beta-Hydroxycholesterol,7-keto-Cholesterol,CE HETE,CE HODE,CE HpODE,CE oxoHETE,CE oxoODE,CE(16:1),CE(18:1(d7)),CE(18:1),CE(18:2),CE(20:4),CE(20:5),CE(22:6),Cer(d18:0/16:0),Cer(d18:0/18:0),Cer(d18:0/24:0),Cer(d18:0/24:1),Cer(d18:1/16:0(d7)),Cer(d18:1/16:0),Cer(d18:1/18:0),Cer(d18:1/24:0),Cer(d18:1/24:1),Cholesterol,Cholesterol(d7),Cholesteryl hexoside,Coenzyme Q10,DG(15:0/18:1(d7)),DG(16:0_18:1),DG(16:0_20:4),DG(18:0_18:1),DG(18:0_20:4),DG(18:0_22:6),DG(18:1/18:1),DG(18:1_20:4),GB3(d18:1/16:0),GB3(d18:1/18:0(d3)),GB3(d18:1/18:0),GB3(d18:1/24:0),GB3(d18:1/24:1),GlcCer(d18:1(d5)/18:0),GlcCer(d18:1/16:0(d3)),Glucosylsphingosine(d5),HexCer(d18:1/12:0),HexCer(d18:1/16:0),HexCer(d18:1/18:0),HexCer(d18:1/22:0),HexCer(d18:1/24:0),HexCer(d18:1/24:1),Hexosylsphingosine,LPC(16:0),LPC(16:1),LPC(18:0),LPC(18:1(d7)),LPC(18:1),LPC(20:4),LPC(22:6),LPC(24:0),LPC(24:1),LPC(26:0),LPC(26:1),LacCer(d18:1/16:0),LacCer(d18:1/17:0),LacCer(d18:1/18:0),LacCer(d18:1/24:0),LacCer(d18:1/24:1),Lactosylsphingosine,MG(16:0),MG(16:1),MG(18:0),MG(18:1(d7)),MG(18:1),MG(20:4),N-Oleoylethanolamine,N-Palmitoyl-O-phosphocholineserine,PC(15:0/18:1(d7)),PC(16:0/5:0(CHO)),PC(16:0/9:0(CHO)),PC(16:0/9:0(COOH)),PC(18:0/20:4(OH[S])),PC(18:0/20:4(OOH[S])),PC(34:1),PC(36:1),PC(36:2),PC(36:4),PC(38:4),PC(38:6),PC(40:5),PC(40:6),PC(O-16:0/0:0),PC(O-16:0/2:0),PC(O-18:0/2:0),PE(15:0/18:1(d7)),PE(18:0/20:4(OH[S])),PE(18:0/20:4(OOH[S])),PE(34:1),PE(36:1),PE(36:2),PE(36:4),PE(38:4),PE(38:5),PE(38:6),PE(40:4),PE(40:5),PE(40:6),PE(40:7),Palmitoylethanolamine,SM(d18:1(d9)/18:1),SM(d18:1/16:0),SM(d18:1/18:0),SM(d18:1/24:0),SM(d18:1/24:1),Sitosteryl hexoside,Sphinganine,Sphinganine 1-phosphate,Sphingosine,Sphingosine 1-phosphate,Sphingosine 1-phosphate-d7,Sphingosine 1-phosphocholine,Sphingosine(d17:1),TG(15:0/18:1(d7)/15:0),TG(18:0_36:2),TG(18:1_34:2),TG(18:1_34:3),TG(20:4_32:1),TG(20:4_34:2),TG(20:4_34:3),TG(20:4_36:0),TG(20:4_36:2),TG(20:4_36:3),TG(22:6_36:2),TG(22:6_38:1),TG(22:6_38:2),lyso-GB3,lyso-GB3-d7,lyso-GB4
HSA-000028139,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.018,N.D.,0.187,0.134,0.443,0.16,0.189,N.D.,N.D.,N.D.,N.D.,N.D.,3.772,0.751,4.467,5.916,2.175,N.D.,0.003,0.004,N.D.,0.577,0.081,0.332,0.114,0.768,0.383,0.062,0.03,N.D.,0.005,0.022,0.072,N.D.,N.D.,N.D.,N.D.,1.914,0.576,1.672,2.134,3.582,N.D.,0.142,0.011,0.293,N.D.,0.088,0.026,0.007,0.004,0.002,0,0,0.138,N.D.,0.014,0.034,0.048,N.D.,127.892,N.D.,560.565,N.D.,17.454,N.D.,8.36E-05,N.D.,N.D.,0.006,0.054,0.003,N.D.,N.D.,4.09,1.113,3.027,2.235,0.805,0.459,0.213,0.26,0.001,0.048,0.006,N.D.,N.D.,N.D.,7.696,15.004,10.678,1.67,16.827,3.393,2.157,4.263,N.D.,5.773,3.549,2.79E-05,N.D.,6.85,1.731,2.073,5.995,N.D.,N.D.,0.009,1.376,0.006,N.D.,N.D.,N.D.,N.D.,0.181,0.866,0.184,0.095,0.086,0.02,0.019,0.148,0.069,0.062,0.002,0.007,N.D.,N.D.,N.D.
HSA-000028140,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.186,N.D.,3.119,1.162,5.871,3.731,10.023,N.D.,N.D.,N.D.,N.D.,N.D.,5.487,5.53,9.937,25.524,3.843,N.D.,0.015,0.005,N.D.,1.034,0.232,0.656,0.838,0.037,1.1,0.219,0.031,N.D.,0.014,0.025,0.071,N.D.,N.D.,N.D.,N.D.,2.128,6.127,8.949,15.683,31.879,N.D.,0.261,0.012,0.565,N.D.,0.156,0.041,0.012,0.05,0.038,0.003,0.003,0.189,N.D.,0.063,0.073,0.131,N.D.,156.286,N.D.,648.691,N.D.,22.402,N.D.,0,N.D.,N.D.,0.004,0.046,0.003,N.D.,N.D.,4.62,3.268,4.081,2.389,1.018,0.573,0.254,0.38,0.001,0.074,0.011,N.D.,N.D.,N.D.,8.244,22.944,13.551,1.749,17.528,4.034,1.853,4.075,N.D.,5.264,2.639,0,N.D.,6.29,2.305,2.986,7.438,N.D.,N.D.,0.117,25.931,0.079,N.D.,N.D.,N.D.,N.D.,0.644,1.435,0.217,0.081,0.076,0.011,0.071,0.273,0.06,0.259,0.021,0.04,N.D.,N.D.,N.D.
HSA-000028142,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.016,N.D.,0.184,0.13,0.567,0.219,0.173,N.D.,N.D.,N.D.,N.D.,N.D.,4.277,1.006,6.352,8.364,1.721,N.D.,0.003,0.003,N.D.,0.547,0.159,0.266,0.197,0.273,0.32,0.098,0.041,N.D.,0.013,0.029,0.055,N.D.,N.D.,N.D.,N.D.,1.263,0.446,2.211,3.062,3.718,N.D.,0.295,0.011,0.568,N.D.,0.138,0.043,0.008,0.007,0.004,0,0.001,0.079,N.D.,0.008,0.032,0.029,N.D.,142.75,N.D.,567.421,N.D.,17.46,N.D.,0,N.D.,N.D.,0.007,0.029,0.003,N.D.,N.D.,3.408,0.963,1.633,2.711,1.2,0.362,0.254,0.244,0.001,0.056,0.011,N.D.,N.D.,N.D.,3.86,9.404,3.698,1.086,12.766,1.758,1.416,3.122,N.D.,3.373,1.353,3.20E-05,N.D.,4.632,1.174,1.868,4.745,N.D.,N.D.,0.004,1.478,0.005,N.D.,N.D.,N.D.,N.D.,0.134,0.357,0.066,0.075,0.06,0.015,0.024,0.116,0.078,0.026,0.001,0.003,N.D.,N.D.,N.D.
HSA-000028143,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.102,N.D.,1.343,0.759,7,5.05,6.738,N.D.,N.D.,N.D.,N.D.,N.D.,6.328,4.952,11.18,25.592,4.345,N.D.,0.012,0.004,N.D.,1.411,0.509,1.33,2.177,0.023,1.049,0.399,0.051,N.D.,0.02,0.048,0.081,N.D.,N.D.,N.D.,N.D.,1.593,5.255,8.435,14.428,28.479,N.D.,0.531,0.013,1.119,N.D.,0.221,0.038,0.009,0.037,0.025,0.002,0.003,0.117,N.D.,0.045,0.066,0.075,N.D.,148.222,N.D.,610.379,N.D.,21.069,N.D.,0,N.D.,N.D.,0.007,0.045,0.003,N.D.,N.D.,4.448,3.199,2.862,3.132,1.404,0.633,0.338,0.426,0.001,0.069,0.02,N.D.,N.D.,N.D.,8.586,22.769,13.947,2.36,18.49,4.942,2.497,4.289,N.D.,5.998,2.173,0,N.D.,5.177,2.027,2.922,6.386,N.D.,N.D.,0.053,13.438,0.059,N.D.,N.D.,N.D.,N.D.,0.293,0.639,0.097,0.075,0.066,0.012,0.048,0.188,0.08,0.095,0.008,0.015,N.D.,N.D.,N.D.
HSA-000028145,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.009,N.D.,0.153,0.067,0.235,0.069,0.061,N.D.,N.D.,N.D.,N.D.,N.D.,2.631,0.825,3.925,5.906,0.965,N.D.,0.003,0.002,N.D.,0.224,0.031,0.202,0.049,0.747,0.073,0.016,0.031,N.D.,0.014,0.022,0.067,N.D.,N.D.,N.D.,N.D.,0.723,0.265,1.517,2.096,2.275,N.D.,0.386,0.011,0.688,N.D.,0.17,0.039,0.008,0.004,0.003,0,0,0.088,N.D.,0.008,0.022,0.024,N.D.,129.794,N.D.,523.179,N.D.,15.596,N.D.,6.23E-05,N.D.,N.D.,0.007,0.023,0.003,N.D.,N.D.,2.064,0.532,0.713,2.187,0.803,0.154,0.136,0.121,0.001,0.048,0.011,N.D.,N.D.,N.D.,1.405,4.425,1.33,0.468,5.621,0.67,0.57,1.134,N.D.,1.174,0.451,N.D.,N.D.,3.051,0.472,0.679,1.913,N.D.,N.D.,0.001,1.38,0.004,N.D.,N.D.,N.D.,N.D.,0.049,0.077,0.01,0.011,0.009,0.002,0.007,0.019,0.014,0.004,0,0.001,N.D.,N.D.,N.D.
HSA-000028146,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.185,N.D.,2.72,1.241,12.124,7.974,10.883,N.D.,N.D.,N.D.,N.D.,N.D.,6.124,4.932,11.066,24.266,3.612,N.D.,0.018,0.003,N.D.,0.922,0.347,0.964,1.434,0.951,0.702,0.26,0.032,N.D.,0.018,0.067,0.131,N.D.,N.D.,N.D.,N.D.,1.452,5.082,8.681,14.379,28.965,N.D.,0.667,0.012,1.202,N.D.,0.247,0.051,0.009,0.043,0.03,0.002,0.003,0.159,N.D.,0.054,0.072,0.09,N.D.,185.499,N.D.,670.184,N.D.,21.207,N.D.,0,N.D.,N.D.,0.006,0.033,0.003,N.D.,N.D.,4.056,3.149,2.269,3.354,1.601,0.402,0.309,0.307,0.001,0.087,0.022,N.D.,N.D.,N.D.,5.563,16.921,9.535,1.581,14.333,3.456,1.406,2.548,N.D.,3.605,0.987,0,N.D.,3.935,1.458,1.814,4.294,N.D.,N.D.,0.062,17.049,0.056,N.D.,N.D.,N.D.,N.D.,0.268,0.312,0.032,0.023,0.018,0.003,0.034,0.085,0.028,0.035,0.007,0.009,N.D.,N.D.,N.D.
HSA-000028148,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.014,N.D.,0.16,0.097,0.254,0.091,0.097,N.D.,N.D.,N.D.,N.D.,N.D.,4.431,1.428,6.828,8.752,2.097,N.D.,0.004,0.006,N.D.,0.488,0.127,0.249,0.178,0.048,0.288,0.077,0.032,N.D.,0.012,0.036,0.089,N.D.,N.D.,N.D.,N.D.,1.702,0.766,3.229,4.457,5.837,N.D.,0.294,0.01,0.583,N.D.,0.117,0.042,0.006,0.01,0.006,0.001,0.001,0.093,N.D.,0.017,0.057,0.053,N.D.,120.8,N.D.,491.597,N.D.,15.128,N.D.,0,N.D.,N.D.,0.011,0.029,0.003,N.D.,N.D.,3.631,1.189,2.029,3.398,1.804,0.56,0.352,0.359,0.001,0.045,0.01,N.D.,N.D.,N.D.,4.84,11.941,5.302,2.148,18.135,3.013,2.581,3.446,N.D.,4.909,2.069,2.48E-05,N.D.,5.047,1.641,2.13,5.408,N.D.,N.D.,0.007,1.053,0.002,N.D.,N.D.,N.D.,N.D.,0.088,0.227,0.039,0.028,0.023,0.007,0.013,0.043,0.026,0.013,0.001,0.001,N.D.,N.D.,N.D.
HSA-000028149,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.062,N.D.,0.663,0.441,3.721,2.965,3.402,N.D.,N.D.,N.D.,N.D.,N.D.,7.085,5.622,13.291,28.656,4.926,N.D.,0.014,0.006,N.D.,1.542,0.59,1.465,2.412,0.932,1.217,0.416,0.033,N.D.,0.014,0.052,0.09,N.D.,N.D.,N.D.,N.D.,2.159,5.224,9.068,14.771,28.963,N.D.,0.632,0.012,1.279,N.D.,0.232,0.051,0.01,0.045,0.029,0.002,0.003,0.13,N.D.,0.051,0.085,0.101,N.D.,187.579,N.D.,721.036,N.D.,23.471,N.D.,0,N.D.,N.D.,0.007,0.028,0.003,N.D.,N.D.,4.405,3.229,2.999,3.641,1.988,0.712,0.444,0.507,0.001,0.053,0.02,N.D.,N.D.,N.D.,8.529,22.978,14.192,2.815,21.515,5.471,2.981,4.254,N.D.,6.933,2.222,0,N.D.,5.311,2.198,2.719,6.559,N.D.,N.D.,0.041,11.039,0.038,N.D.,N.D.,N.D.,N.D.,0.266,0.401,0.055,0.041,0.037,0.007,0.035,0.114,0.048,0.056,0.007,0.012,N.D.,N.D.,N.D.
HSA-000028151,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.02,N.D.,0.196,0.168,0.368,0.07,0.139,N.D.,N.D.,N.D.,N.D.,N.D.,4.032,0.693,5.271,6.218,2.644,N.D.,0.004,0.005,N.D.,0.652,0.064,0.265,0.126,0.043,0.572,0.084,0.021,N.D.,0.007,0.014,0.047,N.D.,N.D.,N.D.,N.D.,2.309,0.66,2.063,2.62,4.408,N.D.,0.126,0.016,0.267,N.D.,0.102,0.023,0.008,0.004,0.002,0.001,0,0.153,N.D.,0.017,0.045,0.065,N.D.,114.643,N.D.,505.571,N.D.,16.251,N.D.,0,N.D.,N.D.,0.002,0.03,0.002,N.D.,N.D.,4.409,1.322,3.949,2.064,0.731,0.543,0.248,0.298,0.001,0.03,0.004,N.D.,N.D.,N.D.,9.663,17.578,14.85,1.599,18.997,4.268,2.139,4.715,N.D.,6.468,4.589,7.11E-05,N.D.,7.554,2.08,2.55,7.259,N.D.,N.D.,0.006,0.967,0.004,N.D.,N.D.,N.D.,N.D.,0.166,0.929,0.232,0.076,0.072,0.02,0.011,0.119,0.052,0.058,0.002,0.006,N.D.,N.D.,N.D.
HSA-000028152,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.276,N.D.,4.74,1.766,7.398,4.857,14.449,N.D.,N.D.,N.D.,N.D.,N.D.,6.037,7.067,12.876,31.296,4.33,N.D.,0.025,0.007,N.D.,1.771,0.209,0.82,0.932,0.018,2.317,0.401,0.025,N.D.,0.011,0.027,0.072,N.D.,N.D.,N.D.,N.D.,2.539,6.737,9.604,16.639,33.798,N.D.,0.238,0.013,0.539,N.D.,0.184,0.03,0.014,0.072,0.053,0.004,0.004,0.229,N.D.,0.072,0.094,0.172,N.D.,164.92,N.D.,627.844,N.D.,24.082,N.D.,0,N.D.,N.D.,0.002,0.032,0.002,N.D.,N.D.,5.021,3.57,5.07,2.573,1.127,0.698,0.33,0.449,0.001,0.046,0.01,N.D.,N.D.,N.D.,9.423,27.193,16.611,1.737,19.995,4.78,1.852,5.193,N.D.,6.462,3.36,7.89E-05,N.D.,7.517,2.765,3.567,8.585,N.D.,N.D.,0.185,28.719,0.132,N.D.,N.D.,N.D.,N.D.,0.882,1.863,0.278,0.084,0.084,0.01,0.073,0.294,0.055,0.315,0.021,0.048,N.D.,N.D.,N.D.
