Sample ID,"1,3-15N2-Uric acid",1-Methylhistidine,1-Methylnicotinamide,1-Methylxanthine,1-Methylxanthosine,"13C10,15N5-Adenosine",13C3-Thiamine,13C5-Hypoxanthine,13C5-Xanthosine,15N4-Inosine,2-Aminobenzoic acid,"3-Hydroxy-N6,N6,N6-Trimethyllysine",3-Hydroxybutyric acid,3-Hydroxykynurenine,3-Hydroxytyrosol,3-Methoxytyrosine,3-Methylxanthine,3-Methylxanthosine,4-Hydroxyproline,4-Trimethylammoniobutanal,5''-Methylthioadenosine,5-Glutamylalanine,5-Hydroxyindoleacetic acid,5-Hydroxytryptophan,6-Aminouracil,6C13-Phenylalanine,6C13-Tyrosine,7-Methylguanine,7-Methylguanosine,7-Methylxanthine,7-Methylxanthosine,7-alpha-Hydroxy-3-oxo-4-cholestenoate,8-Hydroxy-deoxyguanosine,8-Hydroxyguanosine,"8-Oxo-deoxyguanosine-13C,15N2",9-Hexadecenoylcarnitine,AICA-riboside,Acetylcarnitine,Acetylcarnitine-d3,Adenine,Adenosine,Adenosine diphosphate ribose,Adenosylcobalamin,Alanine,Alanine-d4,Arabitol,Arginine,Arginine-d4C13,Ascorbate,Asparagine,Aspartic acid,Aspartic acid-d3,Asymmetric dimethylarginine,Betaine,Betaine-d11,Bilirubin,Butyrobetaine,Butyrylcarnitine,Butyrylcarnitine-d3,Cadaverine,Caffeine,Capsaicin,Carnitine,Carnitine-d9,Choline,Citrulline,Citrulline-d2,Cotinine,Creatine,Creatinine,Creatinine-d3,Curcumin,Cyanocobalamin,Cystathionine,Cysteine,Cysteinylglycine,Cystine,Cytosine,DNL201,Decanoylcarnitine,Demethoxycurcumin,Deoxyadenosine,Deoxyguanosine,Deoxyinosine,Dimethylethanolamine,Dimethylglycine,Dodecanoylcarnitine,Dopa,Dopamine,Dopamine 3-o-sulfate,Dopamine 4-o-sulfate,Epinephrine,Ergothioneine,Ethanolamine,Formylanthranilic acid,Gamma-Glutamylcysteine,Glucosamine,Glucose,Glutamic acid,Glutamic acid-d3,Glutamine,Glutathione,Glutathione disulfide,"Glutathione-(glycine-13C2,15N)",Glycerophosphocholine,Glycine,Guanine,Guanosine,Hexanoylcarnitine,Histamine,Histidine,Homocysteine,Homoserine,Hydroxybutyrylcarnitine,Hydroxyhexanoylcarnitine,Hydroxyisovaleroyl carnitine,Hydroxypropionylcarnitine,Hypoxanthine,Imidazoleacetic acid,Indole,Inosine,Isovalerylcarnitine,Isovalerylcarnitine-d9,Kynurenic acid,Kynurenine,LPC(18:1(d7)),Leucine,Leucine-d3,Linoleyl carnitine,Lysine,Mannitol,Mannose,Melatonin,Methionine,Methionine S-oxide,Methionine-d3,Methylcobalamin,Myristoylcarnitine,Myristoylcarnitine-d9,"N,N''-Bis(gamma-glutamyl)cystine",N-Acetylalanine,N-Acetylaspartic acid,N-Acetylcysteine,N-Acetylglutamic acid,N-Acetylneuraminic acid,N-Acetylputrescine,N-Acetylserine,N-Alpha-acetyllysine,N1-Acetylspermidine,N1-Acetylspermidine-d6,N1-Acetylspermine,N1-N12-Diacetylspermine,N1-N8-Diacetylspermidine,N1-N8-Diacetylspermidine-d6,N15C13-Glycine,"N6,N6,N6-Trimethyllysine",NAD,Niacinamide,Niacinamide-d4,Nicotinamide mononucleotide,Nicotinamide riboside,Nicotinic acid,Nitrotyrosine,Nonanoylcarnitine,Norepinephrine,Octanoylcarnitine,Octanoylcarnitine-d3,Ornithine,Ornithine-d2,Palmitoylcarnitine,Palmitoylcarnitine-d3,Paraxanthine,Phenylalanine,Piperanine,Piperine,Pipernonaline,Piperyline,Proline,Propionylcarnitine,Propionylcartinine-d3,Putrescine,Pyridoxamine,Pyroglutamic acid,S-Adenosylhomocysteine,S-Adenosylmethionine,Sarcosine,Serine,Serotonin,Spermidine,Spermine,Stearoylcarnitine,Sucrose,Taurine,Tetrahydrocurcumin,Theobromine,Theophylline,Thiamine,Threonine,Trigonelline,Trimethylamine-N-oxide,Trimethylamine-d9 N-oxide,Tryptophan,Tyrosine,Uracil,Ureidopropionic acid,Uric acid,Uridine,Valerobetaine,Valerobetaine-d9,Valine,Valine-d8,Xanthine,Xanthosine,alpha-Tocopherol,cADPRibose,gamma-Aminobutyric acid
HSA-000028139,N.D.,0.003,0.073,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.011,0.001,0.239,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.01,N.D.,0.049,N.D.,0.047,N.D.,0.487,0.065,N.D.,N.D.,0.075,N.D.,0.536,0.086,N.D.,N.D.,1.088,N.D.,N.D.,4.6,0.924,N.D.,N.D.,0.06,0.02,N.D.,N.D.,N.D.,N.D.,0.07,N.D.,0.158,0.011,N.D.,N.D.,0.864,0.049,N.D.,N.D.,N.D.,N.D.,N.D.,0.021,0,N.D.,N.D.,N.D.,N.D.,0.036,N.D.,N.D.,0.012,N.D.,N.D.,0.003,0.017,N.D.,N.D.,0.012,0.041,0.003,N.D.,N.D.,N.D.,0.015,17.605,N.D.,11.392,11.995,N.D.,N.D.,95.837,0.162,0.006,N.D.,0.002,N.D.,0.105,0.337,8.686,0.021,0.011,0.037,N.D.,0.037,0.152,N.D.,0.001,0.075,N.D.,0,0.008,N.D.,0.217,N.D.,0.004,0.009,N.D.,0.007,0.001,0.055,1.389,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,5.238,N.D.,N.D.,N.D.,0,0.002,N.D.,0.732,N.D.,N.D.,0.269,0.057,N.D.,N.D.,0.008,N.D.,0.019,N.D.,N.D.,0.008,0,N.D.,N.D.,N.D.,0,N.D.,0.015,N.D.,0.046,N.D.,N.D.,0.649,N.D.,N.D.,N.D.,N.D.,0.379,0.252,N.D.,N.D.,1.23,0.47,0.036,0.102,0.057,2.553,N.D.,N.D.,N.D.,0,0.026,5.83,N.D.,N.D.,N.D.,0.244,4.419,N.D.,0.014,N.D.,0.041,0.008,N.D.,0.007,0.062,0.004,0.032,N.D.,0.007,N.D.,0.003,0.01,N.D.,0.007,0.001
HSA-000028140,N.D.,0.005,0.066,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.017,0.001,0.311,N.D.,0.001,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.01,N.D.,0.051,N.D.,0.053,N.D.,0.331,0.087,N.D.,N.D.,0.089,N.D.,0.582,0.143,N.D.,N.D.,1.151,N.D.,N.D.,6.756,0.941,N.D.,N.D.,0.053,0.023,N.D.,N.D.,N.D.,N.D.,0.078,N.D.,0.154,0.014,N.D.,N.D.,0.977,0.065,N.D.,N.D.,N.D.,N.D.,N.D.,0.023,0,N.D.,N.D.,N.D.,N.D.,0.032,N.D.,N.D.,0.015,N.D.,N.D.,N.D.,0.018,N.D.,N.D.,0.016,0.046,0.012,N.D.,N.D.,N.D.,0.031,14.522,N.D.,13.963,12.697,N.D.,N.D.,125.801,0.194,0.007,N.D.,0.002,N.D.,0.123,0.632,10.396,0.021,0.009,0.032,N.D.,0.052,0.076,N.D.,0.002,0.07,N.D.,0.001,0.006,N.D.,0.271,N.D.,0.003,0.013,N.D.,0.015,0.002,0.068,2.033,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,5.208,N.D.,N.D.,N.D.,0.001,0.003,N.D.,0.802,N.D.,N.D.,0.481,0.103,N.D.,N.D.,0.009,N.D.,0.025,N.D.,N.D.,0.009,0,N.D.,N.D.,N.D.,0.001,N.D.,0.022,N.D.,0.088,N.D.,N.D.,0.841,N.D.,N.D.,N.D.,N.D.,0.492,0.247,N.D.,N.D.,1.262,0.914,0.042,0.144,0.071,3.192,N.D.,N.D.,N.D.,0.001,0.404,3.235,N.D.,N.D.,N.D.,0.329,5.336,N.D.,0.013,N.D.,0.053,0.01,N.D.,0.009,0.095,N.D.,0.034,N.D.,0.005,N.D.,0.004,0.011,N.D.,0.01,0.001
HSA-000028142,N.D.,0.002,0.108,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,0.001,0.212,N.D.,0,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.009,N.D.,0.031,N.D.,0.041,N.D.,0.324,0.048,N.D.,N.D.,0.047,N.D.,0.53,0.073,N.D.,N.D.,0.807,N.D.,N.D.,3.914,0.598,N.D.,N.D.,0.031,0.018,N.D.,N.D.,N.D.,N.D.,0.038,N.D.,0.128,0.008,N.D.,N.D.,0.483,0.034,N.D.,N.D.,N.D.,N.D.,N.D.,0.022,0,N.D.,N.D.,N.D.,N.D.,0.031,N.D.,N.D.,0.01,N.D.,N.D.,0.001,0.018,N.D.,N.D.,0.009,0.029,0.004,N.D.,N.D.,N.D.,0.03,8.063,N.D.,7.331,7.718,N.D.,N.D.,154.445,0.099,0.006,N.D.,0.002,1.676,0.069,0.428,6.291,0.014,0.008,0.036,N.D.,0.094,0.115,N.D.,0.002,0.122,N.D.,0,0.002,N.D.,0.152,N.D.,0.004,0.007,N.D.,0.011,0.001,0.038,1.551,N.D.,N.D.,0,N.D.,N.D.,N.D.,4.631,N.D.,N.D.,N.D.,0,0.001,N.D.,0.561,N.D.,N.D.,0.129,0.083,N.D.,N.D.,0.005,N.D.,0.017,N.D.,N.D.,0.011,0,N.D.,N.D.,N.D.,0,N.D.,0.02,N.D.,0.057,N.D.,N.D.,0.486,N.D.,N.D.,N.D.,N.D.,0.271,0.256,N.D.,N.D.,1.021,0.395,0.027,0.091,0.037,2.159,N.D.,N.D.,N.D.,0,0.043,4.821,N.D.,N.D.,N.D.,0.295,3.085,N.D.,0.011,N.D.,0.03,0.005,N.D.,0.003,0.087,0.002,0.025,N.D.,0.003,N.D.,0.003,0.01,N.D.,0.004,0
HSA-000028143,N.D.,0.005,0.165,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.015,0.001,0.282,N.D.,0.001,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.011,N.D.,0.034,N.D.,0.051,N.D.,0.436,0.066,N.D.,N.D.,0.079,N.D.,0.55,0.13,N.D.,N.D.,0.896,N.D.,N.D.,5.524,0.811,N.D.,N.D.,0.032,0.024,N.D.,N.D.,N.D.,N.D.,0.052,N.D.,0.149,0.018,N.D.,N.D.,0.639,0.052,N.D.,N.D.,N.D.,N.D.,N.D.,0.024,0,N.D.,N.D.,N.D.,N.D.,0.027,N.D.,N.D.,0.012,N.D.,N.D.,0.001,0.018,N.D.,N.D.,0.013,0.043,0.014,N.D.,N.D.,N.D.,0.041,9.511,N.D.,10.571,9.891,N.D.,N.D.,184.217,0.127,0.006,N.D.,0.002,3.451,0.136,0.551,9.044,0.017,0.009,0.042,N.D.,0.077,0.085,N.D.,0.001,0.15,N.D.,0,0.003,N.D.,0.224,N.D.,0.003,0.013,N.D.,0.018,0.002,0.056,2.23,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,6.454,N.D.,N.D.,N.D.,0,0.001,N.D.,1.508,N.D.,N.D.,0.274,0.095,N.D.,N.D.,0.008,N.D.,0.023,N.D.,N.D.,0.01,0,N.D.,N.D.,N.D.,0.001,N.D.,0.027,N.D.,0.111,N.D.,N.D.,0.715,N.D.,N.D.,N.D.,N.D.,0.358,0.305,N.D.,N.D.,1.311,0.797,0.037,0.139,0.062,3.144,N.D.,N.D.,N.D.,0.001,0.391,3.69,N.D.,N.D.,N.D.,0.4,4.488,N.D.,0.012,N.D.,0.046,0.009,N.D.,0.003,0.096,0.002,0.035,N.D.,0.004,N.D.,0.004,0.01,N.D.,0.006,0
HSA-000028145,N.D.,0.001,0.054,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.004,0,0.102,N.D.,0,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.01,N.D.,0.01,N.D.,0.014,N.D.,0.464,0.018,N.D.,N.D.,0.022,N.D.,0.508,0.046,N.D.,N.D.,0.359,N.D.,N.D.,1.835,0.363,N.D.,N.D.,0.016,0.007,N.D.,N.D.,N.D.,N.D.,0.018,N.D.,0.043,0.005,N.D.,N.D.,0.204,0.02,N.D.,N.D.,N.D.,N.D.,N.D.,0.019,0.001,N.D.,N.D.,N.D.,N.D.,0.045,N.D.,N.D.,0.006,N.D.,N.D.,0.002,0.02,N.D.,N.D.,0.004,0.006,0.002,N.D.,N.D.,N.D.,0.027,2.273,N.D.,3.75,1.547,N.D.,N.D.,30.857,0.056,0.004,N.D.,0.001,N.D.,0.033,0.285,2.808,0.007,0.003,0.014,N.D.,0.024,0.184,N.D.,0,0.042,N.D.,0,0.001,N.D.,0.067,N.D.,0.002,0.004,N.D.,0.012,0,0.015,1.015,N.D.,N.D.,0,N.D.,N.D.,N.D.,2.297,N.D.,N.D.,N.D.,0,0,N.D.,0.166,N.D.,N.D.,0.062,0.061,N.D.,N.D.,0.001,N.D.,0.01,N.D.,N.D.,0.003,0,N.D.,N.D.,N.D.,0,N.D.,0.008,N.D.,0.026,N.D.,N.D.,0.224,N.D.,N.D.,N.D.,N.D.,0.127,0.111,N.D.,N.D.,0.715,0.253,0.005,0.027,0.02,1.058,N.D.,N.D.,N.D.,0,0.062,6.973,N.D.,N.D.,N.D.,0.111,1.093,N.D.,0.01,N.D.,0.019,0.002,N.D.,0,0.069,0.001,0.007,N.D.,0.002,N.D.,0.003,0.012,N.D.,0.001,7.39E-05
HSA-000028146,N.D.,0.003,0.166,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.013,0.001,0.181,N.D.,0.001,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.01,N.D.,0.02,N.D.,0.036,N.D.,0.494,0.068,N.D.,N.D.,0.055,N.D.,0.492,0.105,N.D.,N.D.,0.819,N.D.,N.D.,5.029,0.917,N.D.,N.D.,0.031,0.017,N.D.,N.D.,N.D.,N.D.,0.041,N.D.,0.087,0.008,N.D.,N.D.,0.449,0.038,N.D.,N.D.,N.D.,N.D.,N.D.,0.023,0.001,N.D.,N.D.,N.D.,N.D.,0.031,N.D.,N.D.,0.008,N.D.,N.D.,0.002,0.015,N.D.,N.D.,0.01,0.018,0.02,N.D.,N.D.,N.D.,0.051,4.186,N.D.,8.28,5.067,N.D.,N.D.,114.608,0.109,0.004,N.D.,0.001,N.D.,0.092,0.465,6.584,0.017,0.006,0.029,N.D.,0.059,0.101,N.D.,0.001,0.093,N.D.,0,0.002,N.D.,0.154,N.D.,0.003,0.01,N.D.,0.024,0.001,0.041,2.007,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,4.77,N.D.,N.D.,N.D.,0,0.001,N.D.,1.114,N.D.,N.D.,0.238,0.166,N.D.,N.D.,0.004,N.D.,0.02,N.D.,N.D.,0.005,0,N.D.,N.D.,N.D.,0,N.D.,0.029,N.D.,0.098,N.D.,N.D.,0.538,N.D.,N.D.,N.D.,N.D.,0.292,0.232,N.D.,N.D.,1.018,0.647,0.033,0.084,0.052,2.702,N.D.,N.D.,N.D.,0.001,0.419,4.515,N.D.,N.D.,N.D.,0.223,2.766,N.D.,0.01,N.D.,0.038,0.006,N.D.,0.002,0.072,0.003,0.022,N.D.,0.004,N.D.,0.003,0.009,N.D.,0.003,0
HSA-000028148,N.D.,0.002,0.216,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.013,0.001,0.3,N.D.,0.001,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.01,N.D.,0.022,N.D.,0.048,N.D.,0.51,0.067,N.D.,N.D.,0.053,N.D.,0.514,0.083,N.D.,N.D.,0.728,N.D.,N.D.,4.364,1.158,N.D.,N.D.,0.064,0.027,N.D.,N.D.,N.D.,N.D.,0.051,N.D.,0.133,0.009,N.D.,N.D.,0.663,0.038,N.D.,N.D.,N.D.,N.D.,N.D.,0.022,0,N.D.,N.D.,N.D.,N.D.,0.028,N.D.,N.D.,0.009,N.D.,N.D.,0.003,0.013,N.D.,N.D.,0.011,0.031,0.009,N.D.,N.D.,N.D.,0.02,9.127,N.D.,8.163,8.86,N.D.,N.D.,118.571,0.136,0.006,N.D.,0.002,N.D.,0.086,0.301,6.677,0.021,0.012,0.057,N.D.,0.112,0.169,N.D.,0.002,0.217,N.D.,0,0.003,N.D.,0.165,N.D.,0.003,0.009,N.D.,0.01,0.002,0.046,1.51,N.D.,N.D.,0,N.D.,N.D.,N.D.,6.314,N.D.,N.D.,N.D.,0,0.002,N.D.,2.126,N.D.,N.D.,0.443,0.233,N.D.,N.D.,0.005,N.D.,0.022,N.D.,N.D.,0.011,0,N.D.,N.D.,N.D.,0.001,N.D.,0.013,N.D.,0.066,N.D.,N.D.,0.574,N.D.,N.D.,N.D.,N.D.,0.282,0.398,N.D.,N.D.,1.088,0.516,0.044,0.118,0.051,2.131,N.D.,N.D.,N.D.,0,0.027,6.562,N.D.,N.D.,N.D.,0.244,3.338,N.D.,0.012,N.D.,0.041,0.007,N.D.,0.005,0.038,0.002,0.031,N.D.,0.005,N.D.,0.003,0.007,N.D.,0.006,0
HSA-000028149,N.D.,0.004,0.234,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.022,0.002,0.347,N.D.,0.001,0.004,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,0.037,N.D.,0.058,N.D.,0.453,0.082,N.D.,N.D.,0.084,N.D.,0.18,0.151,N.D.,N.D.,1.086,N.D.,N.D.,6.129,1.252,N.D.,N.D.,0.073,0.032,N.D.,N.D.,N.D.,N.D.,0.056,N.D.,0.136,0.014,N.D.,N.D.,0.8,0.054,N.D.,N.D.,N.D.,N.D.,N.D.,0.022,0.001,N.D.,N.D.,N.D.,N.D.,0.04,N.D.,N.D.,0.011,N.D.,N.D.,0.004,0.004,N.D.,N.D.,0.015,0.034,0.019,N.D.,N.D.,N.D.,0.046,8.707,N.D.,11.357,7.884,N.D.,N.D.,120.854,0.137,0.002,N.D.,0.003,N.D.,0.149,0.393,8.445,0.026,0.012,0.068,N.D.,0.124,0.12,N.D.,0.003,0.241,N.D.,0,0.004,N.D.,0.223,N.D.,0.003,0.017,N.D.,0.021,0.002,0.067,1.932,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,7.536,N.D.,N.D.,N.D.,0,0.002,N.D.,3.487,N.D.,N.D.,0.604,0.314,N.D.,N.D.,0.009,N.D.,0.03,N.D.,N.D.,0.012,0,N.D.,N.D.,N.D.,0.001,N.D.,0.022,N.D.,0.129,N.D.,N.D.,0.801,N.D.,N.D.,N.D.,N.D.,0.387,0.395,N.D.,N.D.,1.274,0.876,0.043,0.159,0.076,2.861,N.D.,N.D.,N.D.,0.001,0.327,4.913,N.D.,N.D.,N.D.,0.452,4.424,N.D.,0.012,N.D.,0.057,0.011,N.D.,0.01,0.062,0.002,0.037,N.D.,0.006,N.D.,0.004,0.003,N.D.,0.007,0
HSA-000028151,N.D.,0.005,0.072,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.002,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.02,0.001,0.324,N.D.,0.001,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.008,N.D.,0.054,N.D.,0.053,N.D.,0.344,0.072,N.D.,N.D.,0.107,N.D.,0.757,0.118,N.D.,N.D.,1.419,N.D.,N.D.,6.449,1.373,N.D.,N.D.,0.094,0.023,N.D.,N.D.,N.D.,N.D.,0.117,N.D.,0.202,0.015,N.D.,N.D.,0.986,0.062,N.D.,N.D.,N.D.,N.D.,N.D.,0.025,0,N.D.,N.D.,N.D.,N.D.,0.039,N.D.,N.D.,0.012,N.D.,N.D.,N.D.,0.022,N.D.,N.D.,0.019,0.049,0.004,N.D.,N.D.,N.D.,0.037,24.683,N.D.,15.736,14.535,N.D.,N.D.,105.593,0.206,0.004,N.D.,0.002,N.D.,0.166,1.729,12.456,0.022,0.013,0.042,N.D.,0.014,0.03,N.D.,0.001,0.089,N.D.,0.003,0.004,N.D.,0.323,N.D.,0.005,0.015,N.D.,0.017,0.002,0.082,1.52,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,8.52,N.D.,N.D.,N.D.,0,0.003,N.D.,1.497,N.D.,N.D.,0.407,0.071,N.D.,N.D.,0.011,N.D.,0.025,N.D.,N.D.,0.007,0,N.D.,N.D.,N.D.,0.001,N.D.,0.018,N.D.,0.031,N.D.,N.D.,0.993,N.D.,N.D.,N.D.,N.D.,0.517,0.279,N.D.,N.D.,1.427,0.899,0.054,0.179,0.09,3.595,N.D.,N.D.,N.D.,7.66E-05,0.03,1.259,N.D.,N.D.,N.D.,0.436,6.503,N.D.,0.017,N.D.,0.039,0.012,N.D.,0.01,0.059,N.D.,0.042,N.D.,0.002,N.D.,0.004,0.011,N.D.,0.01,0.001
HSA-000028152,N.D.,0.006,0.071,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.003,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.03,0.002,0.43,N.D.,0.002,0.005,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,0.004,N.D.,0.053,N.D.,0.066,N.D.,0.368,0.07,N.D.,N.D.,0.137,N.D.,0.89,0.219,N.D.,N.D.,1.609,N.D.,N.D.,9.447,1.378,N.D.,N.D.,0.084,0.032,N.D.,N.D.,N.D.,N.D.,0.103,N.D.,0.189,0.018,N.D.,N.D.,1.109,0.081,N.D.,N.D.,N.D.,N.D.,N.D.,0.03,0.001,N.D.,N.D.,N.D.,N.D.,0.036,N.D.,N.D.,0.016,N.D.,N.D.,0.002,0.02,N.D.,N.D.,0.023,0.054,0.013,N.D.,N.D.,N.D.,0.093,18.684,N.D.,19.627,14.68,N.D.,N.D.,112.455,0.245,0.005,N.D.,0.003,N.D.,0.21,2.376,15.703,0.027,0.012,0.04,N.D.,0.008,0.026,N.D.,0.001,0.091,N.D.,0.004,0.003,N.D.,0.394,N.D.,0.004,0.028,N.D.,0.037,0.002,0.103,2.15,N.D.,N.D.,0.001,N.D.,N.D.,N.D.,8.652,N.D.,N.D.,N.D.,0,0.005,N.D.,2.733,N.D.,N.D.,0.561,0.109,N.D.,N.D.,0.016,N.D.,0.043,N.D.,N.D.,0.005,0.001,N.D.,N.D.,N.D.,0.001,N.D.,0.036,N.D.,0.094,N.D.,N.D.,1.211,N.D.,N.D.,N.D.,N.D.,0.754,0.29,N.D.,N.D.,1.45,1.306,0.045,0.164,0.12,5.13,N.D.,N.D.,N.D.,0.001,0.467,1.008,N.D.,N.D.,N.D.,0.485,8.101,N.D.,0.016,N.D.,0.033,0.019,N.D.,0.014,0.247,0.001,0.046,N.D.,0.003,N.D.,0.005,0.011,N.D.,0.01,0.001
