Sample ID,MS1_CE(16:1),MS1_CE(18:1),MS1_CE(18:2),MS1_CE(20:4),MS1_CE(20:5),MS1_CE(22:6),MS1_Cer(d18:1/16:0),MS1_Cer(d18:1/18:0),MS1_Cer(d18:1/24:0),MS1_Cer(d18:1/24:1),MS1_Cholesterol,MS1_Cholesteryl hexoside,MS1_Coenzyme Q10,MS1_DG(16:0_18:1),MS1_DG(16:0_20:4),MS1_DG(18:0_18:1),MS1_DG(18:0_20:4),MS1_DG(18:0_22:6),MS1_DG(18:1/18:1),MS1_DG(18:1_20:4),MS1_GB3(d18:1/16:0),MS1_GB3(d18:1/18:0),MS1_GB3(d18:1/24:0),MS1_GB3(d18:1/24:1),MS1_HexCer(d18:1/16:0),MS1_HexCer(d18:1/18:0),MS1_HexCer(d18:1/22:0),MS1_HexCer(d18:1/24:0),MS1_HexCer(d18:1/24:1),MS1_LPC(16:0),MS1_LPC(16:1),MS1_LPC(18:0),MS1_LPC(18:1),MS1_LPC(20:4),MS1_LPC(22:6),MS1_LPC(24:0),MS1_LPC(24:1),MS1_LPC(26:0),MS1_LPC(26:1),MS1_LacCer(d18:1/16:0),MS1_LacCer(d18:1/18:0),MS1_LacCer(d18:1/24:0),MS1_LacCer(d18:1/24:1),MS1_MG(16:0),MS1_MG(18:0),MS1_MG(18:1),MS1_N-Oleoylethanolamine,MS1_PC(16:0/5:0(CHO)),MS1_PC(16:0/9:0(CHO)),MS1_PC(16:0/9:0(COOH)),MS1_PC(34:1),MS1_PC(36:1),MS1_PC(36:2),MS1_PC(36:4),MS1_PC(38:4),MS1_PC(38:6),MS1_PC(40:5),MS1_PC(40:6),MS1_PC(O-16:0/0:0),MS1_PC(O-16:0/2:0),MS1_PC(O-18:0/2:0),MS1_PE(34:1),MS1_PE(36:1),MS1_PE(36:2),MS1_PE(36:4),MS1_PE(38:4),MS1_PE(38:5),MS1_PE(38:6),MS1_PE(40:4),MS1_PE(40:6),MS1_PE(40:7),MS1_Palmitoylethanolamine,MS1_SM(d18:1/16:0),MS1_SM(d18:1/18:0),MS1_SM(d18:1/24:0),MS1_SM(d18:1/24:1),MS1_Sphinganine 1-phosphate,MS1_Sphingosine,MS1_Sphingosine 1-phosphate,MS1_TG(18:0_36:2),MS1_TG(18:1_34:2),MS1_TG(18:1_34:3),MS1_TG(20:4_32:1),MS1_TG(20:4_34:2),MS1_TG(20:4_34:3),MS1_TG(20:4_36:0),MS1_TG(20:4_36:2),MS1_TG(20:4_36:3),MS1_TG(22:6_36:2),MS1_TG(22:6_38:1),MS1_TG(22:6_38:2),MS2_1-Methylhistidine,MS2_1-Methylnicotinamide,"MS2_3-Hydroxy-N6,N6,N6-Trimethyllysine",MS2_4-Hydroxyproline,MS2_4-Trimethylammoniobutanal,MS2_5''-Methylthioadenosine,MS2_5-Hydroxyindoleacetic acid,MS2_5-Hydroxytryptophan,MS2_8-Hydroxyguanosine,MS2_9-Hexadecenoylcarnitine,MS2_Acetylcarnitine,MS2_Adenine,MS2_Adenosine,MS2_Alanine,MS2_Arabitol,MS2_Arginine,MS2_Asparagine,MS2_Asymmetric dimethylarginine,MS2_Betaine,MS2_Butyrobetaine,MS2_Butyrylcarnitine,MS2_Carnitine,MS2_Choline,MS2_Citrulline,MS2_Creatine,MS2_Creatinine,MS2_Cysteinylglycine,MS2_Cystine,MS2_Deoxyadenosine,MS2_Dimethylethanolamine,MS2_Dopa,MS2_Dopamine,MS2_Epinephrine,MS2_Ergothioneine,MS2_Ethanolamine,MS2_Glucose,MS2_Glutamic acid,MS2_Glutamine,MS2_Glutathione,MS2_Glycerophosphocholine,MS2_Glycine,MS2_Guanine,MS2_Hexanoylcarnitine,MS2_Histamine,MS2_Histidine,MS2_Homocysteine,MS2_Homoserine,MS2_Hydroxybutyrylcarnitine,MS2_Hydroxyhexanoylcarnitine,MS2_Hydroxyisovaleroyl carnitine,MS2_Hypoxanthine,MS2_Imidazoleacetic acid,MS2_Inosine,MS2_Isovalerylcarnitine,MS2_Kynurenic acid,MS2_Kynurenine,MS2_Leucine,MS2_Linoleyl carnitine,MS2_Lysine,MS2_Mannose,MS2_Melatonin,MS2_Methionine,MS2_Methionine S-oxide,MS2_Myristoylcarnitine,MS2_N-Acetylaspartic acid,MS2_N-Acetylputrescine,MS2_N-Acetylserine,MS2_N1-Acetylspermidine,MS2_N1-N12-Diacetylspermine,MS2_N1-N8-Diacetylspermidine,"MS2_N6,N6,N6-Trimethyllysine",MS2_Niacinamide,MS2_Nicotinamide riboside,MS2_Nicotinic acid,MS2_Octanoylcarnitine,MS2_Ornithine,MS2_Palmitoylcarnitine,MS2_Phenylalanine,MS2_Proline,MS2_Propionylcarnitine,MS2_Pyridoxamine,MS2_Pyroglutamic acid,MS2_S-Adenosylhomocysteine,MS2_S-Adenosylmethionine,MS2_Sarcosine,MS2_Serine,MS2_Stearoylcarnitine,MS2_Sucrose,MS2_Taurine,MS2_Thiamine,MS2_Threonine,MS2_Trimethylamine-N-oxide,MS2_Tryptophan,MS2_Tyrosine,MS2_Ureidopropionic acid,MS2_Uric acid,MS2_Uridine,MS2_Valerobetaine,MS2_Valine,MS2_Xanthine,MS2_Xanthosine,MS2_cADPRibose,MS2_gamma-Aminobutyric acid
HSA-000028139,0.018,0.187,0.134,0.443,0.16,0.189,3.772,0.751,4.467,5.916,2.175,0.003,0.004,0.577,0.081,0.332,0.114,0.768,0.383,0.062,0.03,0.005,0.022,0.072,1.914,0.576,1.672,2.134,3.582,0.142,0.011,0.293,0.088,0.026,0.007,0.004,0.002,0,0,0.138,0.014,0.034,0.048,127.892,560.565,17.454,8.36E-05,0.006,0.054,0.003,4.09,1.113,3.027,2.235,0.805,0.459,0.213,0.26,0.001,0.048,0.006,7.696,15.004,10.678,1.67,16.827,3.393,2.157,4.263,5.773,3.549,2.79E-05,6.85,1.731,2.073,5.995,0.009,1.376,0.006,0.181,0.866,0.184,0.095,0.086,0.02,0.019,0.148,0.069,0.062,0.002,0.007,0.003,0.073,0.002,0.011,0.001,0.239,0.001,0.002,0.01,0.049,0.047,0.487,0.065,0.075,0.536,0.086,1.088,4.6,0.924,0.06,0.02,0.07,0.158,0.011,0.864,0.049,0.021,0,0.036,0.012,0.003,0.017,0.012,0.041,0.003,0.015,17.605,11.392,11.995,95.837,0.162,0.006,0.002,,0.105,0.337,8.686,0.021,0.011,0.037,0.037,0.152,0.001,0.075,0,0.008,0.217,0.004,0.009,0.007,0.001,0.055,1.389,0.001,5.238,0,0.002,0.732,0.269,0.057,0.008,0.019,0.008,0,0,0.015,0.046,0.649,0.379,0.252,1.23,0.47,0.036,0.102,0.057,2.553,0,0.026,5.83,0.244,4.419,0.014,0.041,0.008,0.007,0.062,0.004,0.032,0.007,0.003,0.01,0.007,0.001
HSA-000028140,0.186,3.119,1.162,5.871,3.731,10.023,5.487,5.53,9.937,25.524,3.843,0.015,0.005,1.034,0.232,0.656,0.838,0.037,1.1,0.219,0.031,0.014,0.025,0.071,2.128,6.127,8.949,15.683,31.879,0.261,0.012,0.565,0.156,0.041,0.012,0.05,0.038,0.003,0.003,0.189,0.063,0.073,0.131,156.286,648.691,22.402,0,0.004,0.046,0.003,4.62,3.268,4.081,2.389,1.018,0.573,0.254,0.38,0.001,0.074,0.011,8.244,22.944,13.551,1.749,17.528,4.034,1.853,4.075,5.264,2.639,0,6.29,2.305,2.986,7.438,0.117,25.931,0.079,0.644,1.435,0.217,0.081,0.076,0.011,0.071,0.273,0.06,0.259,0.021,0.04,0.005,0.066,0.002,0.017,0.001,0.311,0.001,0.004,0.01,0.051,0.053,0.331,0.087,0.089,0.582,0.143,1.151,6.756,0.941,0.053,0.023,0.078,0.154,0.014,0.977,0.065,0.023,0,0.032,0.015,,0.018,0.016,0.046,0.012,0.031,14.522,13.963,12.697,125.801,0.194,0.007,0.002,,0.123,0.632,10.396,0.021,0.009,0.032,0.052,0.076,0.002,0.07,0.001,0.006,0.271,0.003,0.013,0.015,0.002,0.068,2.033,0.001,5.208,0.001,0.003,0.802,0.481,0.103,0.009,0.025,0.009,0,0.001,0.022,0.088,0.841,0.492,0.247,1.262,0.914,0.042,0.144,0.071,3.192,0.001,0.404,3.235,0.329,5.336,0.013,0.053,0.01,0.009,0.095,,0.034,0.005,0.004,0.011,0.01,0.001
HSA-000028142,0.016,0.184,0.13,0.567,0.219,0.173,4.277,1.006,6.352,8.364,1.721,0.003,0.003,0.547,0.159,0.266,0.197,0.273,0.32,0.098,0.041,0.013,0.029,0.055,1.263,0.446,2.211,3.062,3.718,0.295,0.011,0.568,0.138,0.043,0.008,0.007,0.004,0,0.001,0.079,0.008,0.032,0.029,142.75,567.421,17.46,0,0.007,0.029,0.003,3.408,0.963,1.633,2.711,1.2,0.362,0.254,0.244,0.001,0.056,0.011,3.86,9.404,3.698,1.086,12.766,1.758,1.416,3.122,3.373,1.353,3.20E-05,4.632,1.174,1.868,4.745,0.004,1.478,0.005,0.134,0.357,0.066,0.075,0.06,0.015,0.024,0.116,0.078,0.026,0.001,0.003,0.002,0.108,0.001,0.008,0.001,0.212,0,0.002,0.009,0.031,0.041,0.324,0.048,0.047,0.53,0.073,0.807,3.914,0.598,0.031,0.018,0.038,0.128,0.008,0.483,0.034,0.022,0,0.031,0.01,0.001,0.018,0.009,0.029,0.004,0.03,8.063,7.331,7.718,154.445,0.099,0.006,0.002,1.676,0.069,0.428,6.291,0.014,0.008,0.036,0.094,0.115,0.002,0.122,0,0.002,0.152,0.004,0.007,0.011,0.001,0.038,1.551,0,4.631,0,0.001,0.561,0.129,0.083,0.005,0.017,0.011,0,0,0.02,0.057,0.486,0.271,0.256,1.021,0.395,0.027,0.091,0.037,2.159,0,0.043,4.821,0.295,3.085,0.011,0.03,0.005,0.003,0.087,0.002,0.025,0.003,0.003,0.01,0.004,0
HSA-000028143,0.102,1.343,0.759,7,5.05,6.738,6.328,4.952,11.18,25.592,4.345,0.012,0.004,1.411,0.509,1.33,2.177,0.023,1.049,0.399,0.051,0.02,0.048,0.081,1.593,5.255,8.435,14.428,28.479,0.531,0.013,1.119,0.221,0.038,0.009,0.037,0.025,0.002,0.003,0.117,0.045,0.066,0.075,148.222,610.379,21.069,0,0.007,0.045,0.003,4.448,3.199,2.862,3.132,1.404,0.633,0.338,0.426,0.001,0.069,0.02,8.586,22.769,13.947,2.36,18.49,4.942,2.497,4.289,5.998,2.173,0,5.177,2.027,2.922,6.386,0.053,13.438,0.059,0.293,0.639,0.097,0.075,0.066,0.012,0.048,0.188,0.08,0.095,0.008,0.015,0.005,0.165,0.002,0.015,0.001,0.282,0.001,0.004,0.011,0.034,0.051,0.436,0.066,0.079,0.55,0.13,0.896,5.524,0.811,0.032,0.024,0.052,0.149,0.018,0.639,0.052,0.024,0,0.027,0.012,0.001,0.018,0.013,0.043,0.014,0.041,9.511,10.571,9.891,184.217,0.127,0.006,0.002,3.451,0.136,0.551,9.044,0.017,0.009,0.042,0.077,0.085,0.001,0.15,0,0.003,0.224,0.003,0.013,0.018,0.002,0.056,2.23,0.001,6.454,0,0.001,1.508,0.274,0.095,0.008,0.023,0.01,0,0.001,0.027,0.111,0.715,0.358,0.305,1.311,0.797,0.037,0.139,0.062,3.144,0.001,0.391,3.69,0.4,4.488,0.012,0.046,0.009,0.003,0.096,0.002,0.035,0.004,0.004,0.01,0.006,0
HSA-000028145,0.009,0.153,0.067,0.235,0.069,0.061,2.631,0.825,3.925,5.906,0.965,0.003,0.002,0.224,0.031,0.202,0.049,0.747,0.073,0.016,0.031,0.014,0.022,0.067,0.723,0.265,1.517,2.096,2.275,0.386,0.011,0.688,0.17,0.039,0.008,0.004,0.003,0,0,0.088,0.008,0.022,0.024,129.794,523.179,15.596,6.23E-05,0.007,0.023,0.003,2.064,0.532,0.713,2.187,0.803,0.154,0.136,0.121,0.001,0.048,0.011,1.405,4.425,1.33,0.468,5.621,0.67,0.57,1.134,1.174,0.451,,3.051,0.472,0.679,1.913,0.001,1.38,0.004,0.049,0.077,0.01,0.011,0.009,0.002,0.007,0.019,0.014,0.004,0,0.001,0.001,0.054,0.001,0.004,0,0.102,0,0.002,0.01,0.01,0.014,0.464,0.018,0.022,0.508,0.046,0.359,1.835,0.363,0.016,0.007,0.018,0.043,0.005,0.204,0.02,0.019,0.001,0.045,0.006,0.002,0.02,0.004,0.006,0.002,0.027,2.273,3.75,1.547,30.857,0.056,0.004,0.001,,0.033,0.285,2.808,0.007,0.003,0.014,0.024,0.184,0,0.042,0,0.001,0.067,0.002,0.004,0.012,0,0.015,1.015,0,2.297,0,0,0.166,0.062,0.061,0.001,0.01,0.003,0,0,0.008,0.026,0.224,0.127,0.111,0.715,0.253,0.005,0.027,0.02,1.058,0,0.062,6.973,0.111,1.093,0.01,0.019,0.002,0,0.069,0.001,0.007,0.002,0.003,0.012,0.001,7.39E-05
HSA-000028146,0.185,2.72,1.241,12.124,7.974,10.883,6.124,4.932,11.066,24.266,3.612,0.018,0.003,0.922,0.347,0.964,1.434,0.951,0.702,0.26,0.032,0.018,0.067,0.131,1.452,5.082,8.681,14.379,28.965,0.667,0.012,1.202,0.247,0.051,0.009,0.043,0.03,0.002,0.003,0.159,0.054,0.072,0.09,185.499,670.184,21.207,0,0.006,0.033,0.003,4.056,3.149,2.269,3.354,1.601,0.402,0.309,0.307,0.001,0.087,0.022,5.563,16.921,9.535,1.581,14.333,3.456,1.406,2.548,3.605,0.987,0,3.935,1.458,1.814,4.294,0.062,17.049,0.056,0.268,0.312,0.032,0.023,0.018,0.003,0.034,0.085,0.028,0.035,0.007,0.009,0.003,0.166,0.003,0.013,0.001,0.181,0.001,0.003,0.01,0.02,0.036,0.494,0.068,0.055,0.492,0.105,0.819,5.029,0.917,0.031,0.017,0.041,0.087,0.008,0.449,0.038,0.023,0.001,0.031,0.008,0.002,0.015,0.01,0.018,0.02,0.051,4.186,8.28,5.067,114.608,0.109,0.004,0.001,,0.092,0.465,6.584,0.017,0.006,0.029,0.059,0.101,0.001,0.093,0,0.002,0.154,0.003,0.01,0.024,0.001,0.041,2.007,0.001,4.77,0,0.001,1.114,0.238,0.166,0.004,0.02,0.005,0,0,0.029,0.098,0.538,0.292,0.232,1.018,0.647,0.033,0.084,0.052,2.702,0.001,0.419,4.515,0.223,2.766,0.01,0.038,0.006,0.002,0.072,0.003,0.022,0.004,0.003,0.009,0.003,0
HSA-000028148,0.014,0.16,0.097,0.254,0.091,0.097,4.431,1.428,6.828,8.752,2.097,0.004,0.006,0.488,0.127,0.249,0.178,0.048,0.288,0.077,0.032,0.012,0.036,0.089,1.702,0.766,3.229,4.457,5.837,0.294,0.01,0.583,0.117,0.042,0.006,0.01,0.006,0.001,0.001,0.093,0.017,0.057,0.053,120.8,491.597,15.128,0,0.011,0.029,0.003,3.631,1.189,2.029,3.398,1.804,0.56,0.352,0.359,0.001,0.045,0.01,4.84,11.941,5.302,2.148,18.135,3.013,2.581,3.446,4.909,2.069,2.48E-05,5.047,1.641,2.13,5.408,0.007,1.053,0.002,0.088,0.227,0.039,0.028,0.023,0.007,0.013,0.043,0.026,0.013,0.001,0.001,0.002,0.216,0.003,0.013,0.001,0.3,0.001,0.002,0.01,0.022,0.048,0.51,0.067,0.053,0.514,0.083,0.728,4.364,1.158,0.064,0.027,0.051,0.133,0.009,0.663,0.038,0.022,0,0.028,0.009,0.003,0.013,0.011,0.031,0.009,0.02,9.127,8.163,8.86,118.571,0.136,0.006,0.002,,0.086,0.301,6.677,0.021,0.012,0.057,0.112,0.169,0.002,0.217,0,0.003,0.165,0.003,0.009,0.01,0.002,0.046,1.51,0,6.314,0,0.002,2.126,0.443,0.233,0.005,0.022,0.011,0,0.001,0.013,0.066,0.574,0.282,0.398,1.088,0.516,0.044,0.118,0.051,2.131,0,0.027,6.562,0.244,3.338,0.012,0.041,0.007,0.005,0.038,0.002,0.031,0.005,0.003,0.007,0.006,0
HSA-000028149,0.062,0.663,0.441,3.721,2.965,3.402,7.085,5.622,13.291,28.656,4.926,0.014,0.006,1.542,0.59,1.465,2.412,0.932,1.217,0.416,0.033,0.014,0.052,0.09,2.159,5.224,9.068,14.771,28.963,0.632,0.012,1.279,0.232,0.051,0.01,0.045,0.029,0.002,0.003,0.13,0.051,0.085,0.101,187.579,721.036,23.471,0,0.007,0.028,0.003,4.405,3.229,2.999,3.641,1.988,0.712,0.444,0.507,0.001,0.053,0.02,8.529,22.978,14.192,2.815,21.515,5.471,2.981,4.254,6.933,2.222,0,5.311,2.198,2.719,6.559,0.041,11.039,0.038,0.266,0.401,0.055,0.041,0.037,0.007,0.035,0.114,0.048,0.056,0.007,0.012,0.004,0.234,0.003,0.022,0.002,0.347,0.001,0.004,0.008,0.037,0.058,0.453,0.082,0.084,0.18,0.151,1.086,6.129,1.252,0.073,0.032,0.056,0.136,0.014,0.8,0.054,0.022,0.001,0.04,0.011,0.004,0.004,0.015,0.034,0.019,0.046,8.707,11.357,7.884,120.854,0.137,0.002,0.003,,0.149,0.393,8.445,0.026,0.012,0.068,0.124,0.12,0.003,0.241,0,0.004,0.223,0.003,0.017,0.021,0.002,0.067,1.932,0.001,7.536,0,0.002,3.487,0.604,0.314,0.009,0.03,0.012,0,0.001,0.022,0.129,0.801,0.387,0.395,1.274,0.876,0.043,0.159,0.076,2.861,0.001,0.327,4.913,0.452,4.424,0.012,0.057,0.011,0.01,0.062,0.002,0.037,0.006,0.004,0.003,0.007,0
HSA-000028151,0.02,0.196,0.168,0.368,0.07,0.139,4.032,0.693,5.271,6.218,2.644,0.004,0.005,0.652,0.064,0.265,0.126,0.043,0.572,0.084,0.021,0.007,0.014,0.047,2.309,0.66,2.063,2.62,4.408,0.126,0.016,0.267,0.102,0.023,0.008,0.004,0.002,0.001,0,0.153,0.017,0.045,0.065,114.643,505.571,16.251,0,0.002,0.03,0.002,4.409,1.322,3.949,2.064,0.731,0.543,0.248,0.298,0.001,0.03,0.004,9.663,17.578,14.85,1.599,18.997,4.268,2.139,4.715,6.468,4.589,7.11E-05,7.554,2.08,2.55,7.259,0.006,0.967,0.004,0.166,0.929,0.232,0.076,0.072,0.02,0.011,0.119,0.052,0.058,0.002,0.006,0.005,0.072,0.002,0.02,0.001,0.324,0.001,0.003,0.008,0.054,0.053,0.344,0.072,0.107,0.757,0.118,1.419,6.449,1.373,0.094,0.023,0.117,0.202,0.015,0.986,0.062,0.025,0,0.039,0.012,,0.022,0.019,0.049,0.004,0.037,24.683,15.736,14.535,105.593,0.206,0.004,0.002,,0.166,1.729,12.456,0.022,0.013,0.042,0.014,0.03,0.001,0.089,0.003,0.004,0.323,0.005,0.015,0.017,0.002,0.082,1.52,0.001,8.52,0,0.003,1.497,0.407,0.071,0.011,0.025,0.007,0,0.001,0.018,0.031,0.993,0.517,0.279,1.427,0.899,0.054,0.179,0.09,3.595,7.66E-05,0.03,1.259,0.436,6.503,0.017,0.039,0.012,0.01,0.059,,0.042,0.002,0.004,0.011,0.01,0.001
HSA-000028152,0.276,4.74,1.766,7.398,4.857,14.449,6.037,7.067,12.876,31.296,4.33,0.025,0.007,1.771,0.209,0.82,0.932,0.018,2.317,0.401,0.025,0.011,0.027,0.072,2.539,6.737,9.604,16.639,33.798,0.238,0.013,0.539,0.184,0.03,0.014,0.072,0.053,0.004,0.004,0.229,0.072,0.094,0.172,164.92,627.844,24.082,0,0.002,0.032,0.002,5.021,3.57,5.07,2.573,1.127,0.698,0.33,0.449,0.001,0.046,0.01,9.423,27.193,16.611,1.737,19.995,4.78,1.852,5.193,6.462,3.36,7.89E-05,7.517,2.765,3.567,8.585,0.185,28.719,0.132,0.882,1.863,0.278,0.084,0.084,0.01,0.073,0.294,0.055,0.315,0.021,0.048,0.006,0.071,0.003,0.03,0.002,0.43,0.002,0.005,0.004,0.053,0.066,0.368,0.07,0.137,0.89,0.219,1.609,9.447,1.378,0.084,0.032,0.103,0.189,0.018,1.109,0.081,0.03,0.001,0.036,0.016,0.002,0.02,0.023,0.054,0.013,0.093,18.684,19.627,14.68,112.455,0.245,0.005,0.003,,0.21,2.376,15.703,0.027,0.012,0.04,0.008,0.026,0.001,0.091,0.004,0.003,0.394,0.004,0.028,0.037,0.002,0.103,2.15,0.001,8.652,0,0.005,2.733,0.561,0.109,0.016,0.043,0.005,0.001,0.001,0.036,0.094,1.211,0.754,0.29,1.45,1.306,0.045,0.164,0.12,5.13,0.001,0.467,1.008,0.485,8.101,0.016,0.033,0.019,0.014,0.247,0.001,0.046,0.003,0.005,0.011,0.01,0.001
